# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES
1093	Khoitam	deity, ghost	deity, ghost	mə-lɔː	mə+lɔː	m ə + l ɔː		316 315	316 315	m ə + l ɔː	i n + i n	316 315	deityghost deityghost
1094	Rahung	deity, ghost	deity, ghost	mə-loː	mə+loː	m ə + l oː		316 315	316 315	m ə + l oː	i n + i n	316 315	deityghost deityghost
1095	Rupa	deity, ghost	deity, ghost	loː	loː	l oː		315	315	l oː	i n	315	deityghost
#
1097	Khispi	descend	descend	ju	ju	j u		318	318	j u	i n	318	descend
1098	Duhumbi	descend	descend	ju	ju	j u		318	318	j u	i n	318	descend
1099	Khoina	descend	descend	jyː	jyː	j yː		318	318	j yː	i n	318	descend
1101	Khoitam	descend	descend	jyː	jyː	j yː		318	318	j yː	i n	318	descend
1102	Rahung	descend	descend	jyː	jyː	j yː		318	318	j yː	i n	318	descend
1103	Rupa	descend	descend	jyː	jyː	j yː		318	318	j yː	i n	318	descend
#
1105	Khispi	die	die	i	i	i		319	319	i	n	319	die
1106	Duhumbi	die	die	i	i	i		319	319	i	n	319	die
1107	Khoina	die	die	iː	iː	iː		319	319	iː	n	319	die
1108	Jerigaon	die	die	iː	iː	iː		319	319	iː	n	319	die
1109	Khoitam	die	die	iː	iː	iː		319	319	iː	n	319	die
1110	Rahung	die	die	iː	iː	iː		319	319	iː	n	319	die
1111	Rupa	die	die	iː	iː	iː		319	319	iː	n	319	die
1112	Shergaon	die	die	iː	iː	iː		319	319	iː	n	319	die
#
1113	Khispi	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k	i n c	320	dig
1114	Duhumbi	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k	i n c	320	dig
1116	Jerigaon	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k	i n c	320	dig
1118	Rahung	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k	i n c	320	dig
1119	Rupa	dig	dig	wɔk	wɔk	w ɔ k		320	320	w ɔ k	i n c	320	dig
#
1123	Khoina	dirty	dirty	a-ʐɛʔ	a+ʐɛʔ	a + ʐ ɛ ʔ		322 321	322 321	a + ʐ ɛ ʔ	n + i n c	56 321	u/a-prefix dirty
1124	Jerigaon	dirty	dirty	a-zɛʔ	a+zɛʔ	a + z ɛ ʔ		322 321	322 321	a + z ɛ ʔ	n + i n c	56 321	u/a-prefix dirty
1125	Khoitam	dirty	dirty	a-zɛʔ	a+zɛʔ	a + z ɛ ʔ		322 321	322 321	a + z ɛ ʔ	n + i n c	56 321	u/a-prefix dirty
1126	Rahung	dirty	dirty	a-zɛʔ	a+zɛʔ	a + z ɛ ʔ		322 321	322 321	a + z ɛ ʔ	n + i n c	56 321	u/a-prefix dirty
1127	Rupa	dirty	dirty	zat-mi	zat+mi	z a t + m i		321 323	321 323	z a t + m i	i n c + i n	321 323	dirty dirty
1128	Shergaon	dirty	dirty	zap-tɛŋ	zap+tɛŋ	z a p + t ɛ ŋ		321 321	321 321	z a p + z a p	i n c + i n c	321 321	dirty dirty
#
1131	Khoina	disease	disease	(ku-)ruŋ	ruŋ	r u ŋ		324	324	r u ŋ	i n c	324	disease
1132	Jerigaon	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ	i n c	324	disease
1133	Khoitam	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ	i n c	324	disease
1134	Rahung	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ	i n c	324	disease
1135	Rupa	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ	i n c	324	disease
#
1137	Khispi	do	do	li	li	l i		325	326	l i	i n	325	do
1138	Duhumbi	do	do	le	le	l e		325	326	l e	i n	325	do
1139	Khoina	do	do	ra	ra	r a		325	325	r a	i n	325	do
1140	Jerigaon	do	do	ra ~ rɛ	ra	r a		325	325	r a	i n	325	do
1141	Khoitam	do	do	rɛ	rɛ	r ɛ		325	325	r ɛ	i n	325	do
1142	Rahung	do	do	ra ~ rɛ	ra	r a		325	325	r a	i n	325	do
1143	Rupa	do	do	ra	ra	r a		325	325	r a	i n	325	do
1144	Shergaon	do	do	ra	ra	r a		325	325	r a	i n	325	do
#
1145	Khispi	dog	dog	wa-tʰi	wa+tʰi	w a + tʰ i		329 327	329 327	w a + tʰ i	i n + i n	423 327	? dog
1146	Duhumbi	dog	dog	wa-tʰi	wa+tʰi	w a + tʰ i		329 327	329 327	w a + tʰ i	i n + i n	423 327	? dog
1147	Khoina	dog	dog	bə-tʰaː	bə+tʰaː	b ə + tʰ aː		328 327	328 327	b ə + tʰ aː	i n + i n	219 327	pa-prefix1 dog
1148	Jerigaon	dog	dog	pʰ-tʰɛː	pʰ+tʰɛː	pʰ + tʰ ɛː		328 327	328 327	pʰ - + tʰ ɛː	i + i n	219 327	pa-prefix1 dog
1149	Khoitam	dog	dog	pʰ-tʰɛː	pʰ+tʰɛː	pʰ + tʰ ɛː		328 327	328 327	pʰ - + tʰ ɛː	i + i n	219 327	pa-prefix1 dog
1150	Rahung	dog	dog	pʰ-tʰɛː	pʰ+tʰɛː	pʰ + tʰ ɛː		328 327	328 327	pʰ - + tʰ ɛː	i + i n	219 327	pa-prefix1 dog
1151	Rupa	dog	dog	bə-tʰaː	bə+tʰaː	b ə + tʰ aː		328 327	328 327	b ə + tʰ aː	i n + i n	219 327	pa-prefix1 dog
1152	Shergaon	dog	dog	pʰ-tʰaː	pʰ+tʰaː	pʰ + tʰ aː		328 327	328 327	pʰ - + tʰ aː	i + i n	219 327	pa-prefix1 dog
#
1155	Khoina	dog, wild	dog, wild	(də-)ʦʰɔ̃ː	ʦʰɔ̃ː	tsʰ ɔ̃ː		330	330	tsʰ ɔ̃ː -	i n	330	dogwild
1156	Jerigaon	dog, wild	dog, wild	sɔː	sɔː	s ɔː		330	330	s ɔː -	i n	330	dogwild
1158	Rahung	dog, wild	dog, wild	ʦə-sɔm	ʦə+sɔm	ts ə + s ɔ m		330 330	330 330	ts ə - + ts ə -	i n + i n c	330 330	dogwild dogwild
1159	Rupa	dog, wild	dog, wild	saw	saw	s a w		330	330	s a w	i n c	330	dogwild
1160	Shergaon	dog, wild	dog, wild	saw	saw	s a w		330	330	s a w	i n c	330	dogwild
#
1161	Khispi	door	door	ku	ku	k u		331	331	k u -	i n	331	door
1162	Duhumbi	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -	i n	331	door
1163	Khoina	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -	i n	331	door
1164	Jerigaon	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -	i n	331	door
1165	Khoitam	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -	i n	331	door
1166	Rahung	door	door	koː	koː	k oː		331	331	k oː -	i n	331	door
1167	Rupa	door	door	kaw	kaw	k a w		331	331	k a w	i n c	331	door
1168	Shergaon	door	door	kaw	kaw	k a w		331	331	k a w	i n c	331	door
#
1169	Khispi	down	down	be ~ bja	be	b e		332	332	b e	i n	332	down
1170	Duhumbi	down	down	be	be	b e		332	332	b e	i n	332	down
1171	Khoina	down	down	buː(-rɔ)	buː	b uː		332	332	b uː	i n	332	down
1172	Jerigaon	down	down	buː(-tɛn)	buː	b uː		332	332	b uː	i n	332	down
1173	Khoitam	down	down	buː(-lɔ)	buː	b uː		332	332	b uː	i n	332	down
1175	Rupa	down	down	buː(-tɔ)	buː	b uː		332	332	b uː	i n	332	down
1176	Shergaon	down	down	buː(-tɔ)	buː	b uː		332	332	b uː	i n	332	down
#
1177	Khispi	down (visible)	down (visible)	kʰaj ~ kʰja	kʰaj	kʰ a j		333	333	kʰ - a j	i n c	333	downvisible
1178	Duhumbi	down (visible)	down (visible)	kʰe ~ kʰja	kʰe	kʰ e		333	333	kʰ - e -	i n	333	downvisible
1181	Khoitam	down (visible)	down (visible)	kʰwa(-ʥi)	kʰwa	kʰ w a		333	333	kʰ w a -	i m n	333	downvisible
1182	Rahung	down (visible)	down (visible)	kʰa	kʰa	kʰ a		333	333	kʰ - a -	i n	333	downvisible
#
1187	Khoina	dragon, thunder, lightning	dragon, thunder, lightning	nə-ʦʰaː	nə+ʦʰaː	n ə + tsʰ aː		335 334	335 334	n ə - + tsʰ aː	i n + i n	335 334	sky-prefix3 thunder
1190	Rahung	dragon, thunder, lightning	dragon, thunder, lightning	nam-ʨʰə-rɛː	nam+ʨʰə+rɛː	n a m + tɕʰ ə + r ɛː		335 334 336	335 334 336	n a m + tɕʰ ə + r ɛː	i n c + i n + i n	335 334 336	sky-prefix3 thunder dragonthunderlightning
#
1193	Khispi	dream (n)	dream (n)	bɛŋ(-kʰan)	bɛŋ	b ɛ ŋ		337	337	b - ɛ ŋ	i n c	337	dreamn
1194	Duhumbi	dream (n)	dream (n)	bjɛŋ(-kʰan)	bjɛŋ	b j ɛ ŋ		337	337	b j ɛ ŋ	i m n c	337	dreamn
1195	Khoina	dream (n)	dream (n)	bɛn	bɛn	b ɛ n		337	337	b - ɛ n	i n c	337	dreamn
1196	Jerigaon	dream (n)	dream (n)	bɛn	bɛn	b ɛ n		337	337	b - ɛ n	i n c	337	dreamn
1197	Khoitam	dream (n)	dream (n)	ban	ban	b a n		337	337	b - a n	i n c	337	dreamn
1198	Rahung	dream (n)	dream (n)	ban ~ bɛn	ban	b a n		337	337	b - a n	i n c	337	dreamn
1199	Rupa	dream (n)	dream (n)	ban	ban	b a n		337	337	b - a n	i n c	337	dreamn
1200	Shergaon	dream (n)	dream (n)	ban	ban	b a n		337	337	b - a n	i n c	337	dreamn
#
1201	Khispi	drink	drink	ɲiŋ ~ ɲuŋ	ɲiŋ	ɲ i ŋ		338	338	ɲ i ŋ	i n c	338	drink
1202	Duhumbi	drink	drink	ɲiŋ ~ ɲuŋ	ɲiŋ	ɲ i ŋ		338	338	ɲ i ŋ	i n c	338	drink
1203	Khoina	drink	drink	lyŋ	lyŋ	l y ŋ		338	338	l y ŋ	i n c	338	drink
1204	Jerigaon	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ	i n c	338	drink
1205	Khoitam	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ	i n c	338	drink
1206	Rahung	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ	i n c	338	drink
1207	Rupa	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ	i n c	338	drink
1208	Shergaon	drink	drink	iŋ	iŋ	i ŋ		338	338	- i ŋ	n c	338	drink
#
1209	Khispi	dry (adj.)	dry (adj.)	wal ~ ɔ-wal	wal	w a l		342	342	w a l	i n c	342	dryadj
1210	Duhumbi	dry (adj.)	dry (adj.)	wa-aɹ	wa+aɹ	w a + a ɹ		342 339	342 339	w a - + a ɹ	i n + n c	342 339	dryadj dry
1211	Khoina	dry (adj.)	dry (adj.)	ɔ-ɐ̃ː	ɔ+ɐ̃ː	ɔ + ɐ̃ː		342 339	340 339	- ɔ - + ɐ̃ː -	n + n	342 339	dryadj dry
1212	Jerigaon	dry (adj.)	dry (adj.)	yk-ɐ̃ː	yk+ɐ̃ː	y k + ɐ̃ː		341 339	341 339	y k + ɐ̃ː -	n c + n	341 339	dryadj dry
1213	Khoitam	dry (adj.)	dry (adj.)	yk-ɔ̃ː	yk+ɔ̃ː	y k + ɔ̃ː		341 339	341 339	y k + ɔ̃ː -	n c + n	341 339	dryadj dry
1214	Rahung	dry (adj.)	dry (adj.)	ɔ-ɔ̃ː	ɔ+ɔ̃ː	ɔ + ɔ̃ː		342 339	340 339	- ɔ - + ɔ̃ː -	n + n	342 339	dryadj dry
1215	Rupa	dry (adj.)	dry (adj.)	ɔ-ɔ̃ː	ɔ+ɔ̃ː	ɔ + ɔ̃ː		342 339	340 339	- ɔ - + ɔ̃ː -	n + n	342 339	dryadj dry
1216	Shergaon	dry (adj.)	dry (adj.)	ɔ-ɔ̃ː	ɔ+ɔ̃ː	ɔ + ɔ̃ː		342 339	340 339	- ɔ - + ɔ̃ː -	n + n	342 339	dryadj dry
#
1217	Khispi	dry, dry up (v.i.)	dry, dry up (v.i.)	al	al	a l		344	344	a l	n c	339	dry
1218	Duhumbi	dry, dry up (v.i.)	dry, dry up (v.i.)	aɹ	aɹ	a ɹ		344	344	a ɹ	n c	339	dry
1220	Jerigaon	dry, dry up (v.i.)	dry, dry up (v.i.)	ɐ̃ː	ɐ̃ː	ɐ̃ː		344	343	ɐ̃ː -	n	339	dry
1223	Rupa	dry, dry up (v.i.)	dry, dry up (v.i.)	ɔ̃ː	ɔ̃ː	ɔ̃ː		344	343	ɔ̃ː -	n	339	dry
#
1225	Khispi	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ	i n c	345	dual
1226	Duhumbi	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ	i n c	345	dual
1230	Rahung	dual	dual	-zik	+zik	z i k		345	345	z i k	i n c	345	dual
1231	Rupa	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ	i n c	345	dual
1232	Shergaon	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ	i n c	345	dual
#
1233	Khispi	eagle, buzzard	eagle, buzzard	ha-ʦum	ha+ʦum	h a + ts u m		348 346	348 346	h a + ts u m	i n + i n c	348 346	eaglebuzzard eaglebuzzard
1234	Duhumbi	eagle, buzzard	eagle, buzzard	hu-ʦum	hu+ʦum	h u + ts u m		348 346	348 346	h u + ts u m	i n + i n c	348 346	eaglebuzzard eaglebuzzard
1237	Khoitam	eagle, buzzard	eagle, buzzard	pə-ʨyŋ	pə+ʨyŋ	p ə + tɕ y ŋ		348 346	347 346	p ə + tɕ y ŋ	i n + i n c	348 346	eaglebuzzard eaglebuzzard
1238	Rahung	eagle, buzzard	eagle, buzzard	bə-ʨyŋ ~ pʰ-ʨyŋ	bə+ʨyŋ	b ə + tɕ y ŋ		348 346	347 346	b ə + tɕ y ŋ	i n + i n c	348 346	eaglebuzzard eaglebuzzard
1239	Rupa	eagle, buzzard	eagle, buzzard	bə-ʨiŋ	bə+ʨiŋ	b ə + tɕ i ŋ		348 346	347 346	b ə + tɕ i ŋ	i n + i n c	348 346	eaglebuzzard eaglebuzzard
#
1241	Khispi	ear	ear	kʰu-tʰuŋ	kʰu+tʰuŋ	kʰ u + tʰ u ŋ		350 349	350 349	kʰ u + tʰ u ŋ	i n + i n c	350 349	ear ?
1242	Duhumbi	ear	ear	kʰu-tʰuŋ	kʰu+tʰuŋ	kʰ u + tʰ u ŋ		350 349	350 349	kʰ u + tʰ u ŋ	i n + i n c	350 349	ear ?
1243	Khoina	ear	ear	ga-tʰyŋ	ga+tʰyŋ	g a + tʰ y ŋ		350 349	350 349	g a + tʰ y ŋ	i n + i n c	350 349	ear ?
1244	Jerigaon	ear	ear	kʰ-tʰyŋ-lɛ	kʰ+tʰyŋ+lɛ	kʰ + tʰ y ŋ + l ɛ		350 349 351	350 349 351	kʰ - + tʰ y ŋ + l ɛ -	i + i n c + i n	350 349 351	ear ? ear
1245	Khoitam	ear	ear	kʰ-tʰyŋ	kʰ+tʰyŋ	kʰ + tʰ y ŋ		350 349	350 349	kʰ - + tʰ y ŋ	i + i n c	350 349	ear ?
1246	Rahung	ear	ear	kʰ-tʰyŋ	kʰ+tʰyŋ	kʰ + tʰ y ŋ		350 349	350 349	kʰ - + tʰ y ŋ	i + i n c	350 349	ear ?
1247	Rupa	ear	ear	gə-tʰyŋ	gə+tʰyŋ	g ə + tʰ y ŋ		350 349	350 349	g ə + tʰ y ŋ	i n + i n c	350 349	ear ?
1248	Shergaon	ear	ear	kʰə-tʰuŋ-lap	kʰə+tʰuŋ+lap	kʰ ə + tʰ u ŋ + l a p		350 349 351	350 349 351	kʰ ə + tʰ u ŋ + l a p	i n + i n c + i n c	350 349 351	ear ? ear
#
1249	Khispi	earthworm	earthworm	(ɕala) pʰu-tʰin	pʰu+tʰin	pʰ u + tʰ i n		353 352	353 352	pʰ u + tʰ - i n	i n + i n c	353 352	earthworm earthworm
1251	Khoina	earthworm	earthworm	tʰa-kʰ-laː	tʰa+kʰ+laː	tʰ a + kʰ + l aː		352 356 355	352 354 355	tʰ - a - + kʰ + l aː	i n + i + i n	352 356 355	earthworm earthworm earthworm
1252	Jerigaon	earthworm	earthworm	tʰlak-kʰlaː ~ də-kʰlak-kʰlaː	tʰlak+kʰlaː	tʰ l a k + kʰ + l aː	contraction (first syllable)	352 356 355	352 356	tʰ l a k + kʰ + l aː	i m n c + i + i n	352 356 355	earthworm earthworm earthworm
1253	Khoitam	earthworm	earthworm	pʰ-tʰaŋ-hɔ̃ː ~ pi-taŋ-hɔ̃ː	pʰ+tʰaŋ+hɔ̃ː	pʰ + tʰ a ŋ + h ɔ̃ː		353 352 354	353 352 354	pʰ - + tʰ - a ŋ + h ɔ̃ː	i + i n c + i n	353 352 354	earthworm earthworm earthworm
1254	Rahung	earthworm	earthworm	tɔ̃-hɔ̃ː	tɔ̃+hɔ̃ː	t ɔ̃ + h ɔ̃ː		352 354	352 354	t - ɔ̃ - + h ɔ̃ː	i n + i n	352 354	earthworm earthworm
1255	Rupa	earthworm	earthworm	pʰyː dɔ̃(ŋ)hɔ̃ː	pʰyː_dɔ̃hɔ̃ː	pʰ yː _ d ɔ̃ + h ɔ̃ː		353 352 354	353 352	pʰ yː + d - ɔ̃ - + h ɔ̃ː	i n + i n + i n	353 352 354	earthworm earthworm earthworm
#
1257	Khispi	eat	eat	ʨʰa	ʨʰa	tɕʰ a		357	357	tɕʰ a	i n	357	eat
1258	Duhumbi	eat	eat	ʨʰa	ʨʰa	tɕʰ a		357	357	tɕʰ a	i n	357	eat
1259	Khoina	eat	eat	ʦʰu	ʦʰu	tsʰ u		357	357	tsʰ u	i n	357	eat
1260	Jerigaon	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u	i n	357	eat
1261	Khoitam	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u	i n	357	eat
1262	Rahung	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u	i n	357	eat
1263	Rupa	eat	eat	ʦʰu ~ ʨʰu	ʦʰu	tsʰ u		357	357	tsʰ u	i n	357	eat
1264	Shergaon	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u	i n	357	eat
#
1265	Khispi	egg	egg	ɔ-gɔŋ	ɔ+gɔŋ	ɔ + g ɔ ŋ		359 358	359 358	ɔ + g ɔ ŋ	n + i n c	68 358	u/o/a-prefix egg
1266	Duhumbi	egg	egg	hɔj-ʥɔŋ	hɔj+ʥɔŋ	h ɔ j + dʑ ɔ ŋ		360 358	360 358	h ɔ j + dʑ ɔ ŋ	i n c + i n c	360 358	egg egg
1267	Khoina	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a + j u ŋ	n + i n c	68 358	u/o/a-prefix egg
1268	Jerigaon	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a + j u ŋ	n + i n c	68 358	u/o/a-prefix egg
1269	Khoitam	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a + j u ŋ	n + i n c	68 358	u/o/a-prefix egg
1270	Rahung	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a + j u ŋ	n + i n c	68 358	u/o/a-prefix egg
1271	Rupa	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a + j u ŋ	n + i n c	68 358	u/o/a-prefix egg
#
1273	Khispi	eggplant	eggplant	ban-tʰu	ban+tʰu	b a n + tʰ u		363 361	363 361	b a n + tʰ u -	i n c + i n	363 361	eggplant eggplant
1274	Duhumbi	eggplant	eggplant	ban-tʰɔw	ban+tʰɔw	b a n + tʰ ɔ w		363 361	363 361	b a n + tʰ ɔ w	i n c + i n c	363 361	eggplant eggplant
1275	Khoina	eggplant	eggplant	ma-tʰɔː	ma+tʰɔː	m a + tʰ ɔː		363 361	362 361	m a - + tʰ ɔː -	i n + i n	363 361	eggplant eggplant
1276	Jerigaon	eggplant	eggplant	mə-tʰɔː	mə+tʰɔː	m ə + tʰ ɔː		363 361	362 361	m ə - + tʰ ɔː -	i n + i n	363 361	eggplant eggplant
1277	Khoitam	eggplant	eggplant	mə-tʰoː	mə+tʰoː	m ə + tʰ oː		363 361	362 361	m ə - + tʰ oː -	i n + i n	363 361	eggplant eggplant
1278	Rahung	eggplant	eggplant	pʰ-tʰoː	pʰ+tʰoː	pʰ + tʰ oː		363 361	363 361	pʰ - - + tʰ oː -	i + i n	363 361	eggplant eggplant
1279	Rupa	eggplant	eggplant	man-tʰoː	man+tʰoː	m a n + tʰ oː		363 361	362 361	m a n + tʰ oː -	i n c + i n	363 361	eggplant eggplant
1280	Shergaon	eggplant	eggplant	ban-tʰoː	ban+tʰoː	b a n + tʰ oː		363 361	363 361	b a n + tʰ oː -	i n c + i n	363 361	eggplant eggplant
#
1281	Khispi	eight	eight	saɹ-gɛː	saɹ+gɛː	s a ɹ + g ɛː		365 364	365 364	s a ɹ + g ɛː -	i n c + i n	365 364	eight eight
1282	Duhumbi	eight	eight	saɹ-gɛˀ	saɹ+gɛˀ	s a ɹ + g ɛˀ		365 364	365 364	s a ɹ + g ɛˀ -	i n c + i n	365 364	eight eight
1283	Khoina	eight	eight	saɹ-gɛʔ ~ saɹ-ʥɛʔ	saɹ+gɛʔ	s a ɹ + g ɛ ʔ		365 364	365 364	s a ɹ + g ɛ ʔ	i n c + i n c	365 364	eight eight
1284	Jerigaon	eight	eight	saɹ-gɛʔ	saɹ+gɛʔ	s a ɹ + g ɛ ʔ		365 364	365 364	s a ɹ + g ɛ ʔ	i n c + i n c	365 364	eight eight
1285	Khoitam	eight	eight	saɹ-ʥɛʔ	saɹ+ʥɛʔ	s a ɹ + dʑ ɛ ʔ		365 364	365 364	s a ɹ + dʑ ɛ ʔ	i n c + i n c	365 364	eight eight
1286	Rahung	eight	eight	saɹ-ʥɛʔ	saɹ+ʥɛʔ	s a ɹ + dʑ ɛ ʔ		365 364	365 364	s a ɹ + dʑ ɛ ʔ	i n c + i n c	365 364	eight eight
1287	Rupa	eight	eight	saɹ-ɟat ~ saɹ-ʥat	saɹ+ɟat	s a ɹ + ɟ a t		365 364	365 364	s a ɹ + ɟ a t	i n c + i n c	365 364	eight eight
1288	Shergaon	eight	eight	saɹ-ʥat	saɹ+ʥat	s a ɹ + dʑ a t		365 364	365 364	s a ɹ + dʑ a t	i n c + i n c	365 364	eight eight
#
1290	Duhumbi	elbow	elbow	ki-lik-pa	ki+lik+pa	k i + l i k + p a		366 371 370	366 371 370	k i + l i k + p a	i n + i n c + i n	366 371 370	elbow elbow elbow
1291	Khoina	elbow	elbow	ji ʦə-ryː	ji_ʦə+ryː	j i _ ts ə + r yː		369 366 367	369 366 367	j i + ts ə + r yː	i n + i n + i n	369 366 367	elbow elbow elbow
1292	Jerigaon	elbow	elbow	ik ʨə-ryː	ik_ʨə+ryː	i k _ tɕ ə + r yː		368 366 367	368 366 367	i k + tɕ ə + r yː	n c + i n + i n	368 366 367	hand2 elbow elbow
1293	Khoitam	elbow	elbow	ik kə-li	ik_kə+li	i k _ k ə + l i		368 366 367	368 366 367	i k + k ə + l i	n c + i n + i n	368 366 367	hand2 elbow elbow
1294	Rahung	elbow	elbow	ik kə-ri	ik_kə+ri	i k _ k ə + r i		368 366 367	368 366 367	i k + k ə + r i	n c + i n + i n	368 366 367	hand2 elbow elbow
1295	Rupa	elbow	elbow	ik kə-li	ik_kə+li	i k _ k ə + l i		368 366 367	368 366 367	i k + k ə + l i	n c + i n + i n	368 366 367	hand2 elbow elbow
1296	Shergaon	elbow	elbow	ik kə-li	ik_kə+li	i k _ k ə + l i		368 366 367	368 366 367	i k + k ə + l i	n c + i n + i n	368 366 367	hand2 elbow elbow
#
1299	Khoina	elephant	elephant	ʂu-ʂiŋ-tʰɔŋ	ʂu+ʂiŋ+tʰɔŋ	ʂ u + ʂ i ŋ + tʰ ɔ ŋ		372 374 373	372 374 373	ʂ u + ʂ i ŋ + tʰ ɔ ŋ	i n + i n c + i n c	372 374 373	elephant elephant elephant
1300	Jerigaon	elephant	elephant	su-sɛn-tʰɔŋ	su+sɛn+tʰɔŋ	s u + s ɛ n + tʰ ɔ ŋ		372 374 373	372 374 373	s u + s ɛ n + tʰ ɔ ŋ	i n + i n c + i n c	372 374 373	elephant elephant elephant
1301	Khoitam	elephant	elephant	su-san-tʰɔŋ	su+san+tʰɔŋ	s u + s a n + tʰ ɔ ŋ		372 374 373	372 374 373	s u + s a n + tʰ ɔ ŋ	i n + i n c + i n c	372 374 373	elephant elephant elephant
1302	Rahung	elephant	elephant	su-san-tʰɔŋ	su+san+tʰɔŋ	s u + s a n + tʰ ɔ ŋ		372 374 373	372 374 373	s u + s a n + tʰ ɔ ŋ	i n + i n c + i n c	372 374 373	elephant elephant elephant
1303	Rupa	elephant	elephant	s-tɔŋ	s+tɔŋ	s + t ɔ ŋ		372 373	372 373	s - + t ɔ ŋ	i + i n c	372 373	elephant elephant
1304	Shergaon	elephant	elephant	s-tɔŋ	s+tɔŋ	s + t ɔ ŋ		372 373	372 373	s - + t ɔ ŋ	i + i n c	372 373	elephant elephant
#
1307	Khoina	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a + r u k	n + i n c	56 375	u/a-prefix container
1308	Jerigaon	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a + r u k	n + i n c	56 375	u/a-prefix container
1309	Khoitam	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a + r u k	n + i n c	56 375	u/a-prefix container
1310	Rahung	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a + r u k	n + i n c	56 375	u/a-prefix container
1311	Rupa	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a + r u k	n + i n c	56 375	u/a-prefix container
1312	Shergaon	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a + r u k	n + i n c	56 375	u/a-prefix container
#
1315	Khoina	excrement	excrement	jaː	jaː	j aː		377	377	j aː	i n	439	?
1316	Jerigaon	excrement	excrement	jɛː ~ jaː	jɛː	j ɛː		377	377	j ɛː	i n	439	?
1317	Khoitam	excrement	excrement	jɛː	jɛː	j ɛː		377	377	j ɛː	i n	439	?
1318	Rahung	excrement	excrement	jɛː	jɛː	j ɛː		377	377	j ɛː	i n	439	?
1319	Rupa	excrement	excrement	jaː	jaː	j aː		377	377	j aː	i n	439	?
1320	Shergaon	excrement	excrement	jaː	jaː	j aː		377	377	j aː	i n	439	?
#
1321	Khispi	excrete	excrete	ʨʰat	ʨʰat	tɕʰ a t		378	378	tɕʰ a t	i n c	378	excrete
1322	Duhumbi	excrete	excrete	ʨʰɛt	ʨʰɛt	tɕʰ ɛ t		378	378	tɕʰ ɛ t	i n c	378	excrete
1323	Khoina	excrete	excrete	tʂʰɐ̃	tʂʰɐ̃	ʈʂʰ ɐ̃		378	378	ʈʂʰ ɐ̃ -	i n	378	excrete
1324	Jerigaon	excrete	excrete	ʨʰɐ̃	ʨʰɐ̃	tɕʰ ɐ̃		378	378	tɕʰ ɐ̃ -	i n	378	excrete
1326	Rahung	excrete	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃		378	378	tɕʰ ɔ̃ -	i n	378	excrete
1327	Rupa	excrete	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃		378	378	tɕʰ ɔ̃ -	i n	378	excrete
