NUMBER	COGNATESET	CONCEPT	MORPHEME	PROTOFORM	SCORE
1	490	green	green	0.67	⁰? ¹¹a ⁹ŋ
1	491	green	green	1.00	²⁰o
1	493	melt	?	0.50	⁰? ²⁸u
1	494	gum	sa-prefix2	0.00	⁰? ⁰?
1	495	gum	gum	1.00	⁵nj ³I ¹¹ŋ
1	498	hail	hail	0.33	⁰? ⁰? ⁵ŋ
1	499	hail	hail	0.67	²¹j ⁰? ⁶m|⁸²ŋ
1	500	hair (body): feather	hairbodyfeather	0.67	⁰? ⁶u ⁸²ŋ
1	501	left (side)	?	1.00	³pl|³²b ²⁵a
1	502	hair (head)	hairhead	0.67	⁰? ⁶⁹a ⁸²ŋ
1	503	hair (head)	hairhead	0.50	⁰? ⁹a
1	504	halt, stop	haltstop	0.67	⁰? ²⁰a ¹¹⁶k
1	505	fall	?	0.50	⁰? ³⁰a
1	507	hard	hard	0.50	⁰? ³⁰a
1	508	sparrow	?	1.00	⁸dr|³¹r ³a|⁸I
1	509	hatch	hatch	0.67	⁰? ²⁰o ¹¹⁶k
1	511	head	head	0.50	³⁶kʰ ⁰?
1	513	heart	heart	0.50	⁰? ¹²a
1	514	heart	heart	0.67	³¹tʰ ¹⁸⁸a ⁰?
1	515	hearth, fireplace	hearthfireplace	0.67	³²b ⁰? ⁸j
1	516	hearth, fireplace	hearthfireplace	0.33	⁰? ⁶o ⁰?
1	519	heavy	heavy	1.00	³⁶l ¹⁴I
1	520	here	here	0.50	³¹tʰ ⁰?
1	521	here	here	0.67	⁸r ⁰? ⁹ŋ
1	523	hide	hide	1.00	⁷u ¹¹⁶k
1	524	hold	hold	1.00	⁴z ⁶o ¹⁴m
1	525	honey	honey	0.50	⁰? ¹⁴I
1	527	horn	?	0.50	⁰? ⁰? ⁸a ⁸²ŋ
1	528	hornbill	hornbill	0.67	⁵hl|³⁶l ⁰? ⁹ŋ
1	531	hornbill	hornbill	0.50	⁰? ¹⁴a|⁴⁵u
1	532	hornbill	hornbill	0.67	⁵pw ⁰? ¹⁵ŋ
1	533	hornet	hornet	0.00	⁰? ⁰? ⁰?
1	534	hornet	hornet	0.50	⁰? ³¹u
1	538	horse	?	0.00	⁰?
1	539	horsefly	horsefly	1.00	⁷p ³²I ⁴m
1	540	horsefly	horsefly	1.00	¹⁸t ⁴a ¹⁰m
1	541	horsefly	horsefly	1.00	³hla|⁵hl ⁴o|⁷⁵a
1	542	spear	spear	0.67	⁰? ²⁰o ³ŋ
1	543	star	da-prefix	0.50	²⁵d ⁰?
1	544	house	house	0.67	⁰? ⁶⁹a ¹⁴m
1	545	how many	howmany	0.00	⁰? ⁰? ⁰?
1	547	how many	howmany	0.50	⁰? ¹²a
1	548	how many	howmany	0.00	⁰? ⁰? ⁰?
1	551	sun, day	sunday	0.50	⁰? ³u
1	552	tuber	tuber	1.00	⁸dʑ ³⁰a
1	553	human being	humanbeing	0.67	⁰? ⁶u ⁴n
1	554	human being	humanbeing	0.50	⁰? ⁹a
1	558	hungry (vi)	hungryvi	1.00	³⁶kʰ ⁸a ¹⁸m
1	561	hunter	hunter	0.50	⁰? ⁶⁹a
1	562	hunter	hunter	0.50	⁷p ⁰?
1	564	husband	husband	1.00	²¹j ⁴u
1	566	ice	ice	0.33	⁰? ⁴a ⁰?
1	567	imperative	imperative	0.00	⁰? ⁰?
1	570	insect	insect	1.00	²³pʰ ²⁸u
1	572	intestines	intestines	0.50	⁰? ⁴u
1	574	iron	iron	0.00	⁰? ⁰?
1	575	itch	itch	0.50	⁰? ⁵w
1	576	up there	upthere	1.00	³¹tʰ ⁴o|⁷²a ⁶m|⁸⁵ŋ
1	577	jackal	jackal	0.33	⁰? ⁰? ⁸⁵ŋ
1	578	jackal	jackal	1.00	³m ³a ³⁵j
1	579	jump	jump	0.33	⁰? ⁰? ⁹ŋ
1	581	morning	?	1.00	⁸r ³⁰a
1	582	kick (v)	kickv	0.67	³⁶l ⁰? ³⁵j
1	583	kick (v)	kickv	0.50	⁰? ³¹u
1	584	year	year	1.00	¹⁸t ³⁸u ⁶m
1	585	kill	kill	1.00	⁴a ⁷t
1	586	trivet	trivet	0.50	⁵tɕ ⁰?
1	587	kiss (n)	kissn	0.67	⁰? ⁷u ¹⁰p
1	588	knee	knee	0.67	²³pʰ ⁰? ³t|¹¹⁹k
1	589	pillow	pillow	0.33	⁰? ⁰? ¹⁴m
1	591	knee	knee	0.50	⁰? ⁶r ⁰? ³k
1	593	know	know	1.00	²⁵d ¹¹a ²⁴n
1	594	ladder	ladder	0.33	³⁶l ⁰? ⁰?
1	595	ladder	ladder	0.67	³¹tʰ ⁰? ⁹ŋ
1	596	language	language	0.00	⁰? ⁰? ⁰?
1	597	langur	langur	0.00	⁰? ⁰?
1	598	langur	langur	0.33	⁰? ⁸a ⁰?
1	599	lap	lap	0.33	²⁵d ⁰? ⁰?
1	601	late (vi)	latevi	1.00	²¹j ⁴a ⁷t
1	602	laugh	laugh	0.67	⁰? ³a ³⁵j
1	603	leaf	leaf	1.00	⁴r ³a ¹⁰p
1	605	leaf litter	leaflitter	0.50	³²b ⁰?
1	606	leaf litter	leaflitter	0.33	¹⁸s ⁰? ⁰?
1	607	leech, land	leechland	0.33	⁰? ¹¹a ⁰?
1	608	leech, land	leechland	0.50	²³pʰ ⁰?
1	609	leech, water	leechwater	0.50	⁰? ⁰? ³²I ¹¹⁶k
1	612	left (side)	leftside	0.00	⁰? ⁰?
1	613	red	?	0.00	⁰?
1	615	penis	?	1.00	³⁶l ²⁰a ¹¹⁶k
1	616	left (side)	leftside	0.33	¹⁸t ⁰? ⁰?
1	617	pheasant, kalij	?	0.00	⁰? ⁰?
1	620	leg	leg	1.00	³⁶l ³a ³⁵j
1	622	lie (n)	lien	1.00	¹⁸t ⁴a
1	624	lift completely, carry	liftcompletelycarry	1.00	³⁶kʰ ⁹²a ⁸⁹ŋ
1	625	light	light	0.33	⁰? ³⁸u ⁰?
1	633	lightning	lightning	1.00	¹⁸t ⁴o|¹¹⁰a ¹⁰p
1	634	lightning	lightning	0.50	³m ⁰?
1	635	like, love	likelove	0.00	⁰? ⁰? ⁰?
1	637	liquor	liquor	1.00	²³pʰ ²⁰a ¹¹⁶k
1	638	listen, heed	listenheed	0.33	⁰? ⁸a ⁰?
1	639	live, stay	livestay	1.00	⁸dʑ ⁵a ¹⁶w
1	640	liver	liver	0.25	⁰? ⁰? ⁰? ¹⁷n
1	644	load (n)	loadn	1.00	²¹j ³⁸u ⁸²ŋ
1	645	locative	locative	0.00	⁰? ⁰?
1	646	long	long	0.33	⁰? ⁰? ⁸²ŋ
1	648	look	look	1.00	³⁶l ¹¹a ²⁴n
1	649	red	?	0.50	⁰? ⁰? ⁸a ¹¹⁶k
1	651	lungs	lungs	1.00	⁸r ⁴I
1	652	lungs	lungs	1.00	¹⁸s ¹²a
1	656	macaque	macaque	0.00	⁰? ⁰?
1	657	macaque	?	1.00	²⁵d ³⁸u ⁸²ŋ
1	658	machete	machete	0.67	⁶hj ⁴o ⁰?
1	659	machete	machete	1.00	²⁵d ³⁰a
1	661	maize	maize	0.00	⁰? ⁰? ⁰?
1	664	make	make	0.00	⁰? ⁰? ⁰?
1	665	male	male	1.00	²³pʰ ³⁰a
1	667	man	man	0.00	⁰? ⁰?
1	668	man	man	0.50	⁰? ³⁰a
1	670	manure	manure	0.50	⁵hl ⁰?
1	671	manure	manure	1.00	⁵pw ³⁰a
1	673	marrow	marrow	0.00	⁰? ⁰?
1	677	marten	marten	1.00	¹⁸t ⁶⁹a ⁸²ŋ
1	678	meat, animal	meatanimal	0.50	⁰? ³⁰a
1	682	medicine	medicine	0.67	⁰? ¹¹a ²⁴n
1	683	meet	meet	0.50	⁰? ³¹u
1	686	middle / centre	middlecentre	0.67	⁰? ³⁸u ⁸²ŋ
1	687	millet, broomcorn	sky-prefix4	0.67	⁰? ³a ⁹ŋ
1	688	settle	?	0.67	⁰? ⁹²a ¹¹⁶k
1	689	millet, finger	milletfinger	0.00	⁰? ⁰?
1	690	millet, finger	milletfinger	0.33	⁰? ⁰? ¹⁴m
1	693	mithun	mithun	0.00	⁰? ⁰?
1	694	mithun	mithun	0.00	⁰? ⁰?
1	698	morning	morning	1.00	⁵nj|¹⁴ŋ ³a
1	702	mortar (wood)	mortarwood	0.67	⁰? ⁶o ¹⁴m
1	704	mother	mother	0.00	⁰? ⁰?
1	705	radish	?	1.00	³⁶l ³⁰a
1	706	mountain peak	?	0.50	⁰? ¹⁴I
1	707	mountain peak	mountainpeak	1.00	⁵pw ³⁰a
1	709	mouse, rat	mouserat	1.00	¹⁸s ⁴a ¹⁸m
1	710	mouse, rat	mouserat	0.00	⁰? ⁰? ⁰?
1	711	mouth	mouth	0.33	⁰? ⁰? ¹⁶w
1	712	mouth	mouth	0.50	⁰? ³a
1	714	much	much	0.00	⁰? ⁰? ⁰? ⁰?
1	718	mud	mud	0.00	⁰? ⁰?
1	719	mud	mud	0.67	⁰? ⁸a ¹⁸m
1	721	naga, serpent deity	nagaserpentdeity	1.00	⁵hl ³¹u
1	723	nail	nail	0.33	⁰? ³²I ⁰?
1	726	name	name	0.33	⁰? ⁰? ⁸²ŋ
1	729	navel	navel	0.50	³²b ⁰?
1	730	navel	navel	0.50	⁰? ⁸I
1	733	neck	neck	1.00	³¹tʰ ³⁸u ⁷ŋ
1	734	neck	neck	0.33	⁰? ⁰? ¹⁷n
1	738	need to, have to	needtohaveto	0.67	⁰? ⁴a ⁷t
1	739	needle	needle	0.33	⁰? ⁰? ¹⁴I
1	740	negative prefix	negativeprefix	0.50	³²b ⁰?
1	741	nest, hive, womb	nesthivewomb	0.67	³⁶kʰ ²⁰o ⁰?
1	742	net for fishing	netforfishing	0.33	⁰? ³⁸u ⁰?
1	743	new	new	0.33	⁰? ⁰? ²⁴n
1	744	new	new	0.00	⁰?
1	745	night	night	0.67	⁰? ¹⁰a ¹⁸m
1	746	night	dark	1.00	²³pʰ ³⁸u ⁸²ŋ
1	747	nine	?	1.00	³⁶kʰ ³u
1	748	nine	nine	0.00	⁰? ⁰? ⁰?
1	749	nomen agentis	nomenagentis	1.00	³⁶kʰ ¹¹a ²⁴n
1	750	nominaliser	nominaliser	1.00	³²b ⁶⁹a
1	751	noon	noon	1.00	¹⁸t ¹¹a ¹⁷n
1	752	noon	noon	1.00	⁶hj|¹⁶h ⁴o|⁷²a
1	753	noon	noon	0.67	³²b ⁰? ⁴s
1	755	nose	nose	0.33	⁰? ⁰? ¹⁸m
1	759	oil	oil	1.00	³¹tʰ ⁴o
1	760	see	?	0.50	⁰? ³⁵j
1	762	old	?	0.67	⁰? ¹¹a ²⁴n
1	764	one	?	0.67	⁶hj ⁰? ²⁴n
1	765	other	ji-suffix2	0.50	⁰? ³²I
1	766	other	other	0.50	³pl|³²b ⁰?
1	767	other	other	0.00	⁰?
1	768	otter	otter	0.00	⁰? ⁰?
1	769	otter	otter	0.67	⁰? ²⁰a ¹¹⁹k
1	770	outside	outside	0.00	⁰?
1	771	outside	outside	0.50	⁰? ⁸a
1	775	palm, sole	palmsole	0.33	⁰? ⁹²a ⁰?
1	776	palm, sole	palmsole	1.00	³¹tʰ ⁶a
1	777	palm, sole	palmsole	0.50	⁰? ⁹²a
1	778	pangolin	pangolin	1.00	⁵pw ⁴u
1	779	pangolin	pangolin	0.50	¹⁸s|³⁷sj ⁰?
1	781	partridge	partridge	0.67	⁴kh|³⁶kʰ ⁰? ³w
1	786	partridge	partridge	0.00	⁰? ⁰?
1	787	path, road	pathroad	1.00	³m ⁸a
1	788	path, road	pathroad	0.33	⁵hl ⁰? ⁰?
1	791	patient marker	patientmarker	0.50	⁰? ¹⁴I
1	794	peas	peas	0.33	⁰? ⁰? ³a
1	796	pheasant, kalij	pheasantkalij	0.33	⁰? ⁰? ¹¹⁹k
1	800	pheasant, tragopan	pheasanttragopan	1.00	⁶hj|¹⁶h ¹⁴a|⁴⁵u
1	801	pheasant, tragopan	pheasanttragopan	0.33	³²b ⁰? ⁰?
1	802	pig	pig	0.67	⁰? ²⁰a ¹¹⁶k
1	803	pig	pig	0.50	⁰? ⁸a
1	805	pillow	pillow	0.00	⁰? ⁰? ⁰?
1	807	pinch	pinch	0.67	⁰? ³²I ¹¹⁶k
1	808	pine kindle	pinekindle	0.33	³²b ⁰? ⁰?
1	809	pine kindle	pinekindle	0.50	⁰? ³²I
1	812	plait	plait	0.33	²³pʰ ⁰? ⁰?
1	814	plant  (vt)	plantvt	0.67	⁵hl ⁰? ³⁵j
1	815	play	play	0.67	⁴r|³⁶l ⁰? ³⁵j
1	816	play	play	0.67	⁰? ¹³a ⁴n|⁶m
1	817	plough (v)	ploughv	0.33	⁰? ⁰? ³⁵j
1	818	plural	plural	0.33	³¹tʰ ⁰? ⁰?
1	819	poison	poison	1.00	²⁵d ²⁴u ¹¹⁶k
1	820	porcupine	porcupine	0.67	³²b ⁰? ⁸j
1	821	porcupine	porcupine	0.00	⁰? ⁰?
1	823	pour	pour	1.00	⁵hl ²⁴u ¹¹⁶k
1	824	present	present	0.50	²⁵d ⁰?
1	825	prohibitive prefix	prohibitiveprefix	0.50	⁰? ¹⁰a
1	827	pulse	pulse	1.00	⁷p ²⁸u
1	828	pulse	pulse	0.67	⁰? ²⁰a ¹¹⁶k
1	829	pumpkin	pumpkin	0.75	²³pʰ ⁰? ¹⁴a|⁴⁵u ⁴n|⁶m
1	830	pumpkin	pumpkin	0.50	⁰? ⁴o|⁷²a
1	833	pumpkin	pumpkin	0.50	³²b ⁰? ⁷u ⁰?
1	835	pus	pus	0.33	⁰? ⁰? ³⁵j
1	839	put	put	0.33	⁰? ⁰? ⁴³j
1	841	quarrel (v)	quarrelv	0.33	⁰? ⁰? ³⁵j
1	843	question	question	1.00	²¹j ⁹²a
1	844	quiver	quiver	0.33	⁰? ³²I ⁰?
1	848	radish	radish	0.00	⁰? ⁰?
1	849	rice, husked	?	0.50	⁰? ³⁰a
1	852	rainbow	rainbow	0.67	⁰? ⁴o|⁷²a ³ŋ
1	853	rainbow	rainbow	0.67	⁰? ¹⁴a|⁴⁵u ⁵ŋ
1	855	rainbow	rainbow	1.00	³kʰj|¹³kʰrj ³a
1	856	reap	reap	0.67	⁰? ¹⁴a ¹⁸m
1	857	recognise	recognise	0.50	⁰? ¹¹s
1	864	rest (n)	restn	0.00	⁰? ⁰? ⁰?
1	867	rib	rib	0.50	⁶hj ⁰?
1	868	rib	rib	0.00	⁰? ⁰? ⁰?
1	871	rice, unhusked, paddy	riceunhuskedpaddy	0.50	⁰? ⁵I
1	872	rice, unhusked, paddy	sky-prefix5	0.50	⁰? ³a
1	874	ride, mount	ridemount	0.50	⁰? ¹⁰r
1	876	right	right	0.00	⁰? ⁰?
1	878	ripe	ripe	1.00	²¹j ³⁸u ⁶m
1	881	roof	roof	0.67	⁰? ⁷²a ¹⁰m
1	882	roof	roof	0.33	⁰? ⁰? ⁴ŋ
1	886	root	root	0.50	⁰? ⁴I
1	888	rope	rope	0.00	⁰?
1	889	rot (vi)	rot	0.67	⁰? ⁸a ¹⁸m
1	891	round, small object	roundsmallobject	1.00	³hla|⁴r ⁴o|⁷⁸a ¹¹⁹k
1	894	round, small object	roundsmallobject	0.67	³²b ⁰? ³u
1	895	rub	rub	0.67	⁰? ²⁴u ⁶m|⁸²ŋ
1	896	rub; sharpen	rubsharpen	0.67	⁰? ³u ¹⁷n
1	897	run	run	0.00	⁰? ⁰?
1	898	sago	sago	0.67	⁰? ²⁴u ¹¹⁶k
1	899	saliva	saliva	0.00	⁰? ⁰? ⁰?
1	900	saliva	saliva	0.50	⁰? ⁴o|⁷⁵a
1	902	salt	salt	0.33	⁶hj ⁰? ⁰?
1	908	sand	sand	0.50	²³pʰ ⁰?
1	910	say	say	0.50	⁰? ²⁴n
1	912	scratch	scratch	0.67	⁶hj|¹⁶h ⁰? ⁴ŋ
1	913	search	search	1.00	¹⁸s ⁵a ¹⁶w
1	916	seed	seed	1.00	³⁶l ¹⁴I
1	919	serow	serow	0.50	⁰? ⁸I
1	922	seven	seven	0.67	⁰? ³²I ³t
1	923	sew	sew	0.33	⁰? ⁰? ⁹ŋ
1	924	shade	shade	1.00	¹³tɕʰ ⁹²a ¹⁰p
1	926	shake	shake	1.00	³⁶kʰ ³²I ¹⁷n
1	930	sharp	sharp	0.33	⁰? ⁰? ¹⁶w
1	932	sheep	sheep	0.00	⁰? ⁰?
1	933	sheep	sheep	0.33	⁰? ⁰? ⁸j
1	936	shoe, footwear	leg-prefix	0.50	³⁶l ⁰?
1	937	shoe, footwear	shoefootwear	1.00	⁵hl ¹⁴a ¹⁸m
1	939	shoot	shoot	0.25	⁰? ⁰? ⁰? ¹¹⁶k
1	943	shoulder	shoulder	0.67	²³pʰ ⁶⁹a ⁰?
1	944	tooth	?	0.67	⁰? ²⁴u ⁸²ŋ
1	945	shoulder	shoulder	1.00	³hla|⁴r ²⁵a
1	946	shoulder	shoulder	1.00	⁵jw|²¹j ³a
1	947	shy, ashamed (vi)	shyashamedvi	0.67	⁰? ¹¹a ²⁴n
1	948	sick (vi)	sickvi	0.67	⁰? ⁸a ⁵ŋ
1	949	sick (vi)	sickvi	0.50	⁰? ¹⁴a|⁴⁵u
1	950	silver	silver	0.67	⁰? ⁶u|³²I ⁴n
1	951	silver	silver	0.67	⁰? ³⁴o|³⁸u ³⁵j
1	952	sing	sing	1.00	¹⁸t ³a ³⁵j
1	953	sister, elder	sisterelder	0.50	⁰? ³¹u
1	955	sister, younger	sisteryounger	0.00	⁰? ⁰? ⁰?
1	956	sister, younger	sisteryounger	0.00	⁰?
1	963	sister-in-law	sisterinlaw	0.50	⁰? ³⁰a
1	965	sit	sit	1.00	²⁵d ²⁴u ⁸²ŋ
1	967	six	six	0.67	¹³tɕʰ ²⁴u ⁰?
1	969	skin, bark	skinbark	0.50	⁰? ⁴a
1	970	skin, bark	skinbark	0.67	⁰? ³⁸u ¹¹⁶k
1	972	sky	sky	0.50	⁰? ¹⁰a
1	973	sleep	sleep	0.33	⁰? ³²I ⁰?
1	974	slowly	slowly	0.67	⁰? ⁴a ⁴s
1	979	small	small	0.00	⁰? ⁰? ⁰?
1	981	small	da-suffix2	1.00	²⁵d ¹⁴a
1	984	smell (n)	smelln	1.00	³sj ⁴I ¹¹s
1	986	smell1 (vi)	smell1vi	0.67	⁰? ⁴o|⁷⁵a ¹⁴m|²⁴n
1	987	smell2 (vi)	smell2vi	0.33	⁰? ⁰? ⁴ŋ
1	990	snake	snake	0.33	⁰? ⁰? ¹⁴m
1	992	snatch away	snatchaway	1.00	³kʰj|¹³kʰrj ⁸o ³w
1	993	snow	snow	0.33	⁰? ⁰? ¹⁸m
1	994	snow	snow	0.50	⁰? ²⁸u
1	997	soda ash	sodaash	0.50	³⁶kʰ ⁰?
1	1001	soil, earth	soilearth	0.50	¹⁸s ⁰?
1	1002	son	son	1.00	²⁵d ⁶a ³k
1	1005	son-in-law	soninlaw	0.67	⁰? ²⁸u ¹⁷n
1	1006	song	song	0.33	³²b ⁰? ⁰?
1	1008	song	song	0.00	⁰? ⁰?
1	1009	soup, liquid, broth, juice	water	1.00	³⁶kʰ ⁴o ⁵w
1	1013	sour	sour	0.00	⁰? ⁰?
1	1014	sour	sour	0.00	⁰? ⁰?
1	1017	sow, broadcast	sowbroadcast	1.00	²³pʰ ⁶u ³t
1	1018	sow, broadcast	sowbroadcast	0.50	⁰? ⁴a
1	1021	soybean	soybean	0.67	⁰? ³⁸u ¹¹⁶k
1	1022	soybean	soybean	0.00	⁰? ⁰?
1	1023	sparrow	sparrow	0.50	⁰? ³a
1	1024	sparrow	sparrow	1.00	⁴r|³⁶l ³u|⁶a ¹⁰²ŋ
1	1025	sparrow	sparrow	1.00	²⁵d ¹⁸⁸a ¹¹⁶k
1	1028	speak	speak	1.00	⁴g ¹¹a ⁵w
1	1029	speak	speak	0.67	¹⁸s|³⁷sj ⁰? ⁵I
1	1034	spicy, pungent	spicypungent	0.33	⁰? ⁰? ³⁵j
1	1037	spider	spider	1.00	⁴g ³a ¹⁸m
1	1038	spider	spider	0.25	⁰? ⁴r ⁰? ⁰?
1	1039	spider	spider	0.33	¹⁸s ⁰? ⁰?
1	1040	spider	spider	0.50	⁰? ³a
1	1041	spider	spider	0.50	⁰? ⁴o|⁷²a
1	1043	spirit, soul, shadow	spiritsoulshadow	0.67	⁰? ⁷u ⁸²ŋ
1	1044	spirit, soul, shadow	spiritsoulshadow	0.00	⁰?
1	1046	spit	spit	0.50	⁰? ³o
1	1048	spit	throw	0.67	⁰? ³o ¹¹s
1	1049	spit	spittle	0.67	¹⁸t ⁰? ¹¹s
1	1052	split	split	0.00	⁰? ⁰? ⁰?
1	1056	squirrel	squirrel	0.33	⁰? ⁶⁹a ⁰?
1	1057	squirrel	squirrel	0.50	⁰? ³a
1	1058	squirrel	squirrel	0.75	¹⁸s|³⁷sj ⁰? ²⁶o ¹⁰p
1	1060	squirrel, flying	squirrelflying	0.67	³tsʰj|³tɕʰw ⁰? ¹⁰r
1	1062	squirrel, flying	squirrelflying	0.50	²¹j ⁰?
1	1063	squirrel, flying	squirrelflying	0.50	³kʰj|¹³kʰrj ⁰? ⁴o ⁰?
1	1064	stab	stab	0.67	⁰? ³⁸u ¹¹⁶k
1	1065	stand (up)	standup	0.67	⁰? ⁴I ⁹ŋ
1	1066	star	star	0.67	⁰? ²⁴u ¹¹⁹k
1	1067	star	star	1.00	³tsʰ|³tsʰj ²⁴u ⁶m|⁸⁹ŋ
1	1068	steal	steal	0.67	⁰? ⁵a ¹⁶w
1	1070	steam	steam	1.00	⁵hl ⁶a ⁷ŋ
1	1071	steam	steam	1.00	⁷p ⁴a
1	1075	stich	stich	0.67	⁰? ²⁰a ¹¹⁹k
1	1076	stick	stick	0.67	³⁶kʰ ⁰? ³⁵j
1	1077	stone	stone	1.00	⁴r ²⁴u ⁸²ŋ
1	1078	story	story	0.33	¹⁸t ⁰? ⁰?
1	1079	story	story	1.00	⁴kh|³⁶kʰ ⁴o|⁷⁵a ⁵r
1	1081	straight	straight	0.33	⁰? ⁶a ⁰?
1	1084	wood	wood	1.00	⁶hj ³²I ⁸²ŋ
1	1085	stump (tree)	stumptree	0.25	⁰? ⁰? ²⁰o ⁰?
1	1087	stump (tree)	stumptree	0.67	⁰? ⁶o|¹⁷a ⁴⁸m
1	1089	suck	suck	0.33	⁰? ⁰? ³p
1	1090	suck	suck	0.67	⁰? ⁸a ⁶m|⁸²ŋ
1	1091	sugarcane	sugarcane	0.00	⁰? ⁰?
1	1092	sugarcane	sugarcane	0.67	³m ⁰? ³⁵j
1	1095	sun, day	sunday	0.50	⁰? ³¹u
1	1096	sun, day	sunday	0.50	⁰? ¹⁰a
1	1097	swallow	swallow	0.50	⁰? ²⁸u
1	1098	sweet	sweet	0.50	⁰? ⁴I
1	1102	tail	tail	0.67	⁰? ⁴u ³⁵j
1	1104	take	take	0.67	³¹tʰ ⁰? ¹⁷n
1	1106	takin	takin	0.50	⁰? ²⁸a
1	1107	takin	takin	1.00	³tsʰj|³tɕʰw ⁶o ¹⁴m
1	1108	taro	taro	0.67	⁰? ²⁰a ¹¹⁶k
1	1111	tasty	tasty	0.75	³²b ⁶r ⁰? ³⁵j
1	1114	tear (vt)	tearvt	0.67	⁰? ⁴a ⁷t
1	1115	tell	tell	0.67	⁰? ⁴a ⁷t
1	1116	ten	ten	1.00	¹⁸s ¹¹a ¹⁷n
1	1117	that	that	0.50	³¹tʰ ⁰?
1	1119	that side	thatside	0.33	³¹tʰ ⁰? ⁰?
1	1120	that side	thatside	0.50	³⁶kʰ ⁰?
1	1121	that side	thatside	1.00	³¹tʰ ¹⁴I
1	1126	thick	thick	0.67	³¹tʰ ⁵a ⁰?
1	1127	thief	thief	0.50	⁰? ⁰? ⁵a ¹⁶w
1	1129	thief	thief	0.00	⁰? ⁰?
1	1131	thigh	thigh	0.67	²³pʰ ⁰? ³⁰a
1	1132	thin	thin	1.00	¹⁰tsʰw ³a ¹⁰p
1	1137	thing	thing	0.50	³m ⁰?
1	1138	thing	thing	1.00	³tsʰj|³tɕʰw ³o|⁶u ⁶m|⁸⁹ŋ
1	1140	think	think	1.00	³¹tʰ ⁶u|³²I ⁴n
1	1141	thirsty (vi)	thirstyvi	0.33	²¹j ⁰? ⁰?
1	1143	this	this	0.67	³¹tʰ ⁰? ³o
1	1146	thorn	thorn	0.67	⁴z ⁰? ¹⁶w
1	1147	thorn	thorn	0.00	⁰? ⁰?
1	1148	thousand	thousand	0.00	⁰? ⁰?
1	1149	thousand	thousand	1.00	¹⁸t ²⁰o ⁸²ŋ
1	1150	thread	thread	0.67	⁰? ⁶⁹a ⁸²ŋ
1	1151	three	three	1.00	³⁸u ⁶m
1	1155	thunder (vi)	thundervi	1.00	⁴hw|⁶hj ²⁴u ¹¹⁹k
1	1158	tie (vt)	tievt	0.67	⁰? ²⁰a ¹¹⁶k
1	1159	tiger	tiger	0.50	²³pʰ ⁰?
1	1160	tiger	tiger	0.67	⁰? ¹⁸⁸a ⁴⁸m
1	1161	till (hoe)	tillhoe	1.00	³tsʰj|³tɕʰw ²⁰o ¹¹⁹k
1	1162	tired (vi)	tiredvi	0.33	⁰? ⁰? ⁴³j
1	1163	today	today	1.00	⁴r ³⁰a
1	1164	today	today	0.50	³¹tʰ ⁰?
1	1166	together with	togetherwith	0.33	²⁵d ⁰? ⁰?
1	1167	tomorrow	tomorrow	1.00	¹⁸s ⁶⁹a ⁸²ŋ
1	1169	tomorrow	tomorrow	0.00	⁰? ⁰?
1	1171	tongue	tongue	0.67	³⁶l ⁰? ³⁵j
1	1175	tooth	tooth	0.33	⁰? ⁰? ¹⁷n
1	1177	trivet	trivet	0.00	⁰? ⁰? ⁰?
1	1179	trivet	trivet	1.00	⁷p ³⁵a ⁵r
1	1186	tusk	tusk	0.50	⁵nj|¹⁴ŋ ⁰?
1	1187	twenty	twenty	0.33	³⁶kʰ ⁰? ⁰?
1	1188	twist	twist	0.00	⁰? ⁰? ⁰?
1	1189	two	two	0.67	⁰? ³²I ³t
1	1191	up there	upthere	0.50	³⁶l ⁰? ⁶⁹a ⁰?
1	1194	uproot	uproot	0.67	²³pʰ ³o ⁰?
1	1195	urine	urine	0.50	⁰? ¹⁴I
1	1196	vagina	vagina	1.00	³¹tʰ ⁸a ¹⁶w
1	1197	vegetable, leafy	vegetableleafy	0.33	²⁵d ⁰? ⁰?
1	1198	vegetable, leafy	vegetableleafy	1.00	⁴hw|⁶hj ⁴a
1	1199	veranda	veranda	0.00	⁰? ⁰? ⁰?
1	1200	veranda	veranda	0.50	⁰? ⁴o|⁷²a
1	1203	village	village	0.67	³¹tʰ ²⁴u ⁰?
1	1204	vomit	vomit	1.00	²¹j ²⁰o ¹¹⁹k
1	1205	waist	waist	0.67	⁰? ²⁴u ⁸²ŋ
1	1208	waist	waist	0.67	³²b ⁹a ⁰?
1	1209	wait	wait	1.00	⁸dʑ ²⁰a ¹¹⁶k
1	1211	wake up	wakeup	1.00	²¹j ⁴o ³w
1	1214	walking stick	walkingstick	0.33	⁰? ⁰? ⁴³j
1	1215	walking stick	walkingstick	0.67	⁰? ²⁴u ⁸⁹ŋ
1	1217	walnut	walnut	0.67	⁰? ¹⁰a ⁹ŋ
1	1218	warm, hot (adj.)	warm	0.67	⁰? ³²I ¹¹⁶k
1	1222	wash	wash	0.33	⁰? ⁰? ¹⁰r
1	1224	wealthy	wealthy	0.67	¹³tɕʰ ⁰? ¹¹⁶k
1	1225	wealthy	wealthy	1.00	⁷p ⁷u
1	1226	wear	wear	0.67	⁰? ⁴a ¹¹s
1	1228	weave	weave	0.67	⁰? ²⁰a ¹¹⁶k
1	1229	weed, grass	weedgrass	0.67	⁸dʑ ⁰? ⁶m
