ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS
567	Rupa	brother-in-law	brother-in-law	a-raː	a+raː	a + r aː		184 183	184 183	a + r aː -	n + i n	124 183
568	Shergaon	brother-in-law	brother-in-law	a-raː	a+raː	a + r aː		184 183	184 183	a + r aː -	n + i n	124 183
577	Khispi	buckwheat, bitter	buckwheat, bitter	jɛs-ma	jɛs+ma	j ɛ s + m a		187 185	187 185	j ɛ s + m a	i n c + i n	187 185
578	Duhumbi	buckwheat, bitter	buckwheat, bitter	ʑa-ma ~ bɹa-ma	ʑa+ma	ʑ a + m a		186 185	186 185	ʑ - a + m a	i n + i n	186 185
579	Khoina	buckwheat, bitter	buckwheat, bitter	dza-m	dza+m	d z a + m		186 185	186 185	d z a + m -	i m n + i	186 185
580	Jerigaon	buckwheat, bitter	buckwheat, bitter	ʥə-muː	ʥə+muː	dʑ ə + m uː		186 185	186 185	dʑ - ə + m uː	i n + i n	186 185
581	Khoitam	buckwheat, bitter	buckwheat, bitter	ʥu-m	ʥu+m	dʑ u + m		186 185	186 185	dʑ - u + m -	i n + i	186 185
582	Rahung	buckwheat, bitter	buckwheat, bitter	ʥə-muː	ʥə+muː	dʑ ə + m uː		186 185	186 185	dʑ - ə + m uː	i n + i n	186 185
583	Rupa	buckwheat, bitter	buckwheat, bitter	dzə-muː	dzə+muː	d z ə + m uː		186 185	186 185	d z ə + m uː	i m n + i n	186 185
584	Shergaon	buckwheat, bitter	buckwheat, bitter	ʥə-muː	ʥə+muː	dʑ ə + m uː		186 185	186 185	dʑ - ə + m uː	i n + i n	186 185
585	Khispi	buckwheat, sweet	buckwheat, sweet	gun-ʦun	gun+ʦun	g u n + ts u n		188 189	188 189	g u n + ts u n	i n c + i n c	188 189
586	Duhumbi	buckwheat, sweet	buckwheat, sweet	gun-ʦun	gun+ʦun	g u n + ts u n		188 189	188 189	g u n + ts u n	i n c + i n c	188 189
587	Khoina	buckwheat, sweet	buckwheat, sweet	ʣam gə-ʦiŋ	ʣam_gə+ʦiŋ	dz a m _ g ə + ts i ŋ		190 188 189	190 188 189	dz a m + g ə - + ts i ŋ	i n c + i n + i n c	190 188 189
588	Jerigaon	buckwheat, sweet	buckwheat, sweet	kʰ-ʨiŋ	kʰ+ʨiŋ	kʰ + tɕ i ŋ		188 189	188 189	kʰ - - + tɕ i ŋ	i + i n c	188 189
589	Khoitam	buckwheat, sweet	buckwheat, sweet	kʰiŋ-ʨiŋ	kʰiŋ+ʨiŋ	kʰ i ŋ + tɕ i ŋ		188 189	188 189	kʰ i ŋ + tɕ i ŋ	i n c + i n c	188 189
590	Rahung	buckwheat, sweet	buckwheat, sweet	kʰan-ʨiŋ	kʰan+ʨiŋ	kʰ a n + tɕ i ŋ		188 189	188 189	kʰ a n + tɕ i ŋ	i n c + i n c	188 189
591	Rupa	buckwheat, sweet	buckwheat, sweet	gə-ʦin	gə+ʦin	g ə + ts i n		188 189	188 189	g ə - + ts i n	i n + i n c	188 189
592	Shergaon	buckwheat, sweet	buckwheat, sweet	gə-ʨin	gə+ʨin	g ə + tɕ i n		188 189	188 189	g ə - + tɕ i n	i n + i n c	188 189
595	Khoina	buffalo	buffalo	ʂə-dʐeː	ʂə+dʐeː	ʂ ə + ɖʐ eː		191 192	191 192	ʂ ə + ɖʐ eː	i n + i n	191 192
596	Jerigaon	buffalo	buffalo	sə-ʥeː	sə+ʥeː	s ə + dʑ eː		191 192	191 192	s ə + dʑ eː	i n + i n	191 192
597	Khoitam	buffalo	buffalo	ʥə-zeː ~ zə-zeː	ʥə+zeː	dʑ ə + z eː		191 192	191 192	dʑ ə + z eː	i n + i n	191 192
598	Rahung	buffalo	buffalo	zeː	zeː	z eː		191	191	z eː	i n	191
599	Rupa	buffalo	buffalo	zə-gyː(ŋ) ~ zə-geː	zə+gyː	z ə + g yː		191 192	191 192	z ə + g yː	i n + i n	191 192
600	Shergaon	buffalo	buffalo	zə-geː	zə+geː	z ə + g eː		191 192	191 192	z ə + g eː	i n + i n	191 192
609	Khispi	burn (vi)	burn (vi)	haj	haj	h a j		193	193	h a j	i n c	193
610	Duhumbi	burn (vi)	burn (vi)	haj	haj	h a j		193	193	h a j	i n c	193
611	Khoina	burn (vi)	burn (vi)	ha	ha	h a		193	193	h a -	i n	193
612	Jerigaon	burn (vi)	burn (vi)	hɛ	hɛ	h ɛ		193	193	h ɛ -	i n	193
613	Khoitam	burn (vi)	burn (vi)	hɛ	hɛ	h ɛ		193	193	h ɛ -	i n	193
614	Rahung	burn (vi)	burn (vi)	hɛ	hɛ	h ɛ		193	193	h ɛ -	i n	193
615	Rupa	burn (vi)	burn (vi)	ha	ha	h a		193	193	h a -	i n	193
616	Shergaon	burn (vi)	burn (vi)	ha	ha	h a		193	193	h a -	i n	193
617	Khispi	burn, roast (vt)	burn, roast (vt)	di	di	d i		195	195	d i	i n	195
618	Duhumbi	burn, roast (vt)	burn, roast (vt)	di	di	d i		195	195	d i	i n	195
619	Khoina	burn, roast (vt)	burn, roast (vt)	riː	riː	r iː		195	194	r iː	i n	195
621	Khoitam	burn, roast (vt)	burn, roast (vt)	riː	riː	r iː		195	194	r iː	i n	195
623	Rupa	burn, roast (vt)	burn, roast (vt)	riː	riː	r iː		195	194	r iː	i n	195
625	Khispi	butter	butter	mal	mal	m a l		196	196	m a l	i n c	196
626	Duhumbi	butter	butter	maɹ	maɹ	m a ɹ		196	196	m a ɹ	i n c	196
627	Khoina	butter	butter	mɐ̃ː	mɐ̃ː	m ɐ̃ː		196	196	m ɐ̃ː -	i n	196
628	Jerigaon	butter	butter	mɐ̃ː	mɐ̃ː	m ɐ̃ː		196	196	m ɐ̃ː -	i n	196
629	Khoitam	butter	butter	mɔ̃ː	mɔ̃ː	m ɔ̃ː		196	196	m ɔ̃ː -	i n	196
630	Rahung	butter	butter	mɔ̃ː	mɔ̃ː	m ɔ̃ː		196	196	m ɔ̃ː -	i n	196
631	Rupa	butter	butter	mɔ̃ː	mɔ̃ː	m ɔ̃ː		196	196	m ɔ̃ː -	i n	196
632	Shergaon	butter	butter	mɔ̃ː	mɔ̃ː	m ɔ̃ː		196	196	m ɔ̃ː -	i n	196
634	Duhumbi	butterfly	butterfly	(pɛm-)pi-liŋ	pi+liŋ	p i + l i ŋ		197 197	197 197	p - i - + p - i -	i n + i n c	197 197
635	Khoina	butterfly	butterfly	ʦʰam-pʰlɔ̃ː	ʦʰam+pʰlɔ̃ː	tsʰ a m + pʰ l ɔ̃ː		198 197	198 197	tsʰ a m + pʰ l ɔ̃ː -	i n c + i m n	198 197
636	Jerigaon	butterfly	butterfly	ʨʰam-blɔ̃ː ~ ʨʰam-pʰlɔ̃ː	ʨʰam+blɔ̃ː	tɕʰ a m + b l ɔ̃ː		198 197	198 197	tɕʰ a m + b l ɔ̃ː -	i n c + i m n	198 197
637	Khoitam	butterfly	butterfly	ʨʰam-pʰlɔː	ʨʰam+pʰlɔː	tɕʰ a m + pʰ l ɔː		198 197	198 197	tɕʰ a m + pʰ l ɔː -	i n c + i m n	198 197
638	Rahung	butterfly	butterfly	ʨʰam-pʰɔɹ	ʨʰam+pʰɔɹ	tɕʰ a m + pʰ ɔ ɹ		198 197	198 197	tɕʰ a m + pʰ - ɔ ɹ	i n c + i n c	198 197
639	Rupa	butterfly	butterfly	ʦam-pyŋ ~ ʨam-pyŋ ~ ʨam-pliŋ	ʦam+pyŋ	ts a m + p y ŋ		198 197	198 197	ts a m + p - y ŋ	i n c + i n c	198 197
640	Shergaon	butterfly	butterfly	ʨʰam-pliŋ	ʨʰam+pliŋ	tɕʰ a m + p l i ŋ		198 197	198 197	tɕʰ a m + p l i ŋ	i n c + i m n c	198 197
641	Khispi	buy	buy	ɕej	ɕej	ɕ e j		199	199	ɕ e j	i n c	199
642	Duhumbi	buy	buy	ɕɛj	ɕɛj	ɕ ɛ j		199	199	ɕ ɛ j	i n c	199
643	Khoina	buy	buy	ʦʰaː	ʦʰaː	tsʰ aː		199	199	tsʰ aː -	i n	199
644	Jerigaon	buy	buy	ʨʰɛː ~ ʨʰaː	ʨʰɛː	tɕʰ ɛː		199	199	tɕʰ ɛː -	i n	199
645	Khoitam	buy	buy	ʨʰɛː	ʨʰɛː	tɕʰ ɛː		199	199	tɕʰ ɛː -	i n	199
646	Rahung	buy	buy	ʨʰɛː	ʨʰɛː	tɕʰ ɛː		199	199	tɕʰ ɛː -	i n	199
647	Rupa	buy	buy	ʨʰaː ~ ʦʰaː	ʨʰaː	tɕʰ aː		199	199	tɕʰ aː -	i n	199
648	Shergaon	buy	buy	ʨʰaː	ʨʰaː	tɕʰ aː		199	199	tɕʰ aː -	i n	199
649	Khispi	call for	call for	kʰal	kʰal	kʰ a l		200	200	kʰ a l	i n c	200
650	Duhumbi	call for	call for	kʰaɹ	kʰaɹ	kʰ a ɹ		200	200	kʰ a ɹ	i n c	200
651	Khoina	call for	call for	kʰɛ(n)	kʰɛ	kʰ ɛ		200	200	kʰ ɛ -	i n	200
652	Jerigaon	call for	call for	kʰɛ(n)	kʰɛ	kʰ ɛ		200	200	kʰ ɛ -	i n	200
653	Khoitam	call for	call for	kʰan	kʰan	kʰ a n		200	200	kʰ a n	i n c	200
654	Rahung	call for	call for	kʰan ~ kʰɛ(n)	kʰan	kʰ a n		200	200	kʰ a n	i n c	200
655	Rupa	call for	call for	kʰan	kʰan	kʰ a n		200	200	kʰ a n	i n c	200
656	Shergaon	call for	call for	kʰan	kʰan	kʰ a n		200	200	kʰ a n	i n c	200
657	Khispi	cane	cane	kʰi	kʰi	kʰ i		201	201	kʰ i	i n	201
658	Duhumbi	cane	cane	kʰi	kʰi	kʰ i		201	201	kʰ i	i n	201
659	Khoina	cane	cane	ʨʰi	ʨʰi	tɕʰ i		201	201	tɕʰ i	i n	201
660	Jerigaon	cane	cane	ʨʰi	ʨʰi	tɕʰ i		201	201	tɕʰ i	i n	201
661	Khoitam	cane	cane	ʨʰi	ʨʰi	tɕʰ i		201	201	tɕʰ i	i n	201
662	Rahung	cane	cane	ʨʰi	ʨʰi	tɕʰ i		201	201	tɕʰ i	i n	201
663	Rupa	cane	cane	kʰi	kʰi	kʰ i		201	201	kʰ i	i n	201
664	Shergaon	cane	cane	kʰi	kʰi	kʰ i		201	201	kʰ i	i n	201
665	Khispi	cap, hat	cap, hat	kʰɔ-tʰuŋ ~ kʰɔ-tʰɔŋ	kʰɔ+tʰuŋ	kʰ ɔ + tʰ u ŋ		202 203	202 203	kʰ ɔ - + tʰ u ŋ	i n + i n c	202 203
666	Duhumbi	cap, hat	cap, hat	kʰɔ-tʰɔŋ	kʰɔ+tʰɔŋ	kʰ ɔ + tʰ ɔ ŋ		202 203	202 203	kʰ ɔ - + tʰ ɔ ŋ	i n + i n c	202 203
667	Khoina	cap, hat	cap, hat	gə-tʰuŋ	gə+tʰuŋ	g ə + tʰ u ŋ		202 203	202 203	g ə - + tʰ u ŋ	i n + i n c	202 203
668	Jerigaon	cap, hat	cap, hat	kʰ-tʰuŋ	kʰ+tʰuŋ	kʰ + tʰ u ŋ		202 203	202 203	kʰ - - + tʰ u ŋ	i + i n c	202 203
669	Khoitam	cap, hat	cap, hat	kʰ-tʰuŋ	kʰ+tʰuŋ	kʰ + tʰ u ŋ		202 203	202 203	kʰ - - + tʰ u ŋ	i + i n c	202 203
670	Rahung	cap, hat	cap, hat	kʰan-tʰuŋ	kʰan+tʰuŋ	kʰ a n + tʰ u ŋ		202 203	202 203	kʰ a n + tʰ u ŋ	i n c + i n c	202 203
671	Rupa	cap, hat	cap, hat	gə-tʰuŋ	gə+tʰuŋ	g ə + tʰ u ŋ		202 203	202 203	g ə - + tʰ u ŋ	i n + i n c	202 203
672	Shergaon	cap, hat	cap, hat	kʰ-tʰuŋ	kʰ+tʰuŋ	kʰ + tʰ u ŋ		202 203	202 203	kʰ - - + tʰ u ŋ	i + i n c	202 203
673	Khispi	carry	carry	bu	bu	b u		204	204	b u	i n	204
674	Duhumbi	carry	carry	bu	bu	b u		204	204	b u	i n	204
675	Khoina	carry	carry	byː	byː	b yː		204	204	b yː	i n	204
676	Jerigaon	carry	carry	byː	byː	b yː		204	204	b yː	i n	204
677	Khoitam	carry	carry	byː	byː	b yː		204	204	b yː	i n	204
678	Rahung	carry	carry	byː	byː	b yː		204	204	b yː	i n	204
679	Rupa	carry	carry	byː	byː	b yː		204	204	b yː	i n	204
680	Shergaon	carry	carry	biː	biː	b iː		204	204	b iː	i n	204
681	Khispi	cat	cat	ɲaŋ-bu	ɲaŋ+bu	ɲ a ŋ + b u		206 205	206 205	ɲ a ŋ + b u	i n c + i n	206 117
682	Duhumbi	cat	cat	ɲaŋ-bu	ɲaŋ+bu	ɲ a ŋ + b u		206 205	206 205	ɲ a ŋ + b u	i n c + i n	206 117
683	Khoina	cat	cat	nam-byː	nam+byː	n a m + b yː		206 205	206 205	n a m + b yː	i n c + i n	206 117
684	Jerigaon	cat	cat	nam-byː	nam+byː	n a m + b yː		206 205	206 205	n a m + b yː	i n c + i n	206 117
685	Khoitam	cat	cat	nam-byː	nam+byː	n a m + b yː		206 205	206 205	n a m + b yː	i n c + i n	206 117
686	Rahung	cat	cat	nam-byː	nam+byː	n a m + b yː		206 205	206 205	n a m + b yː	i n c + i n	206 117
687	Rupa	cat	cat	ɲam-byː	ɲam+byː	ɲ a m + b yː		206 205	206 205	ɲ a m + b yː	i n c + i n	206 117
688	Shergaon	cat	cat	ɲam-biː	ɲam+biː	ɲ a m + b iː		206 205	206 205	ɲ a m + b iː	i n c + i n	206 117
689	Khispi	cattle, cow	cattle, cow	ɕa	ɕa	ɕ a		207	207	ɕ a	i n	207
690	Duhumbi	cattle, cow	cattle, cow	ɕa	ɕa	ɕ a		207	207	ɕ a	i n	207
691	Khoina	cattle, cow	cattle, cow	ʂuː	ʂuː	ʂ uː		207	207	ʂ uː	i n	207
692	Jerigaon	cattle, cow	cattle, cow	huː	huː	h uː		208	207	h uː	i n	208
693	Khoitam	cattle, cow	cattle, cow	huː	huː	h uː		208	207	h uː	i n	208
694	Rahung	cattle, cow	cattle, cow	huː	huː	h uː		208	207	h uː	i n	208
695	Rupa	cattle, cow	cattle, cow	s-puː	s+puː	s + p uː		207 208	207 208	s - + p uː	i + i n	207 208
696	Shergaon	cattle, cow	cattle, cow	s-puː	s+puː	s + p uː		207 208	207 208	s - + p uː	i + i n	207 208
697	Khispi	cave	cave	kʰip	kʰip	kʰ i p		209	209	kʰ i p	i n c	146
698	Duhumbi	cave	cave	kʰip	kʰip	kʰ i p		209	209	kʰ i p	i n c	146
699	Khoina	cave	cave	tʂʰeˀ	tʂʰeˀ	ʈʂʰ eˀ		209	209	ʈʂʰ eˀ -	i n	146
700	Jerigaon	cave	cave	ʨʰeˀ	ʨʰeˀ	tɕʰ eˀ		209	209	tɕʰ eˀ -	i n	146
701	Khoitam	cave	cave	ʨʰeˀ	ʨʰeˀ	tɕʰ eˀ		209	209	tɕʰ eˀ -	i n	146
702	Rahung	cave	cave	ʨʰeˀ	ʨʰeˀ	tɕʰ eˀ		209	209	tɕʰ eˀ -	i n	146
703	Rupa	cave	cave	kʰeˀ	kʰeˀ	kʰ eˀ		209	209	kʰ eˀ -	i n	146
704	Shergaon	cave	cave	kʰeː	kʰeː	kʰ eː		209	209	kʰ eː -	i n	146
705	Khispi	charcoal	charcoal	bɛŋ-kʰan	bɛŋ+kʰan	b ɛ ŋ + kʰ a n		211 210	211 210	b ɛ ŋ + kʰ a n	i n c + i n c	211 210
707	Khoina	charcoal	charcoal	bə-kʰɐ̃ː	bə+kʰɐ̃ː	b ə + kʰ ɐ̃ː		211 210	211 210	b ə - + kʰ ɐ̃ː -	i n + i n	211 210
708	Jerigaon	charcoal	charcoal	ba-kʰə-muː  ~ ba-møː	ba+kʰə+muː	b a + kʰ ə + m uː		211 210 213	211 210 213	b a - + kʰ ə - + m uː	i n + i n + i n	211 210 213
709	Khoitam	charcoal	charcoal	ba-kʰɔ̃ː	ba+kʰɔ̃ː	b a + kʰ ɔ̃ː		211 210	211 210	b a - + kʰ ɔ̃ː -	i n + i n	211 210
710	Rahung	charcoal	charcoal	mə-kʰɔ̃ː	mə+kʰɔ̃ː	m ə + kʰ ɔ̃ː		211 210	212 210	m ə - + kʰ ɔ̃ː -	i n + i n	211 210
711	Rupa	charcoal	charcoal	ba-kʰɔ̃ː	ba+kʰɔ̃ː	b a + kʰ ɔ̃ː		211 210	211 210	b a - + kʰ ɔ̃ː -	i n + i n	211 210
712	Shergaon	charcoal	charcoal	ba-kʰɔ̃ː	ba+kʰɔ̃ː	b a + kʰ ɔ̃ː		211 210	211 210	b a - + kʰ ɔ̃ː -	i n + i n	211 210
714	Duhumbi	chest	chest	mɔw	mɔw	m ɔ w		214	214	m ɔ w	i n c	214
715	Khoina	chest	chest	ma-wɔ	ma+wɔ	m a + w ɔ		214 215	214 215	m a - + w ɔ -	i n + i n	214 215
717	Khoitam	chest	chest	mu-wɔ	mu+wɔ	m u + w ɔ		214 215	214 215	m u - + w ɔ -	i n + i n	214 215
718	Rahung	chest	chest	mow  ~ mo	mow	m o w		214	214	m o w	i n c	214
719	Rupa	chest	chest	mə-jaw ~ mwo	mə+jaw	m ə + j a w		214 215	214 216	m ə - + j a w	i n + i n c	214 215
721	Khispi	chew	chew	ka	ka	k a		217	217	k a	i n	217
722	Duhumbi	chew	chew	ka	ka	k a		217	217	k a	i n	217
723	Khoina	chew	chew	kaˀ	kaˀ	k aˀ		217	217	k aˀ	i n	217
724	Jerigaon	chew	chew	kaˀ	kaˀ	k aˀ		217	217	k aˀ	i n	217
725	Khoitam	chew	chew	ka	ka	k a		217	217	k a	i n	217
726	Rahung	chew	chew	ka	ka	k a		217	217	k a	i n	217
727	Rupa	chew	chew	ku ~ kuː	ku	k u		217	217	k u	i n	217
729	Khispi	chicken	chicken	hwa-kʰi	hwa+kʰi	hw a + kʰ i		219 218	220 218	hw a + kʰ i	i n + i n	219 218
730	Duhumbi	chicken	chicken	hɔː-ki ~ hu-ki	hɔː+ki	h ɔː + k i		219 218	220 218	h ɔː + k i	i n + i n	219 218
731	Khoina	chicken	chicken	bə-ʨʰaː	bə+ʨʰaː	b ə + tɕʰ aː		219 218	219 218	b ə + tɕʰ aː	i n + i n	219 218
732	Jerigaon	chicken	chicken	pʰ-ʨʰɛː	pʰ+ʨʰɛː	pʰ + tɕʰ ɛː		219 218	219 218	pʰ - + tɕʰ ɛː	i + i n	219 218
733	Khoitam	chicken	chicken	pʰ-ʨʰɛː	pʰ+ʨʰɛː	pʰ + tɕʰ ɛː		219 218	219 218	pʰ - + tɕʰ ɛː	i + i n	219 218
734	Rahung	chicken	chicken	pʰ-ʨʰɛː	pʰ+ʨʰɛː	pʰ + tɕʰ ɛː		219 218	219 218	pʰ - + tɕʰ ɛː	i + i n	219 218
735	Rupa	chicken	chicken	bə-cʰaː ~ bə-ʨʰaː	bə+cʰaː	b ə + cʰ aː		219 218	219 218	b ə + cʰ aː	i n + i n	219 218
736	Shergaon	chicken	chicken	pʰ-ʨʰaː	pʰ+ʨʰaː	pʰ + tɕʰ aː		219 218	219 218	pʰ - + tɕʰ aː	i + i n	219 218
738	Duhumbi	child	child	a-nu	a+nu	a + n u		222 221	222 221	a + n u	n + i n	124 221
739	Khoina	child	child	a-nyː	a+nyː	a + n yː		222 221	222 221	a + n yː	n + i n	124 221
740	Jerigaon	child	child	a-nyː	a+nyː	a + n yː		222 221	222 221	a + n yː	n + i n	124 221
741	Khoitam	child	child	a-nyː	a+nyː	a + n yː		222 221	222 221	a + n yː	n + i n	124 221
742	Rahung	child	child	a-nyː	a+nyː	a + n yː		222 221	222 221	a + n yː	n + i n	124 221
743	Rupa	child	child	nə-nyː	nə+nyː	n ə + n yː		223 221	223 221	n ə + n yː	i n + i n	344 221
744	Shergaon	child	child	nə-nu	nə+nu	n ə + n u		223 221	223 221	n ə + n u	i n + i n	344 221
745	Khispi	chili	chili	maŋ	maŋ	m a ŋ		224	224	m a ŋ	i n c	224
746	Duhumbi	chili	chili	maŋ	maŋ	m a ŋ		224	224	m a ŋ	i n c	224
747	Khoina	chili	chili	mɔ̃ː	mɔ̃ː	m ɔ̃ː		224	224	m ɔ̃ː -	i n	224
748	Jerigaon	chili	chili	mɔ̃ː	mɔ̃ː	m ɔ̃ː		224	224	m ɔ̃ː -	i n	224
749	Khoitam	chili	chili	mũː	mũː	m ũː		224	224	m ũː -	i n	224
750	Rahung	chili	chili	mɔŋ	mɔŋ	m ɔ ŋ		224	224	m ɔ ŋ	i n c	224
751	Rupa	chili	chili	mɔŋ	mɔŋ	m ɔ ŋ		224	224	m ɔ ŋ	i n c	224
752	Shergaon	chili	chili	mɔŋ	mɔŋ	m ɔ ŋ		224	224	m ɔ ŋ	i n c	224
753	Khispi	chin	chin	hin-kul ~ hin-kuɹ	hin+kul	h i n + k u l		225 229	231 229	h i n + k u l	i n c + i n c	225 229
755	Khoina	chin	chin	ny-ju-kʰuː	ny+ju+kʰuː	n y + j u + kʰ uː		225 228 229	225 228 227	n y - + j u + kʰ uː -	i n + i n + i n	225 228 229
756	Jerigaon	chin	chin	ny-jɔ-kʰuː	ny+jɔ+kʰuː	n y + j ɔ + kʰ uː		225 228 229	225 228 227	n y - + j ɔ + kʰ uː -	i n + i n + i n	225 228 229
757	Khoitam	chin	chin	nə-wu	nə+wu	n ə + w u		225 228	225 226	n ə - + w u	i n + i n	225 228
758	Rahung	chin	chin	ma-wu	ma+wu	m a + w u		225 228	230 226	m a - + w u	i n + i n	225 228
763	Khoina	civet or spotted wild cat	civet or spotted wild cat	saŋ-gə-du	saŋ+gə+du	s a ŋ + g ə + d u		232 234 233	232 234 233	s a ŋ + g ə + d u	i n c + i n + i n	232 234 233
764	Jerigaon	civet or spotted wild cat	civet or spotted wild cat	saŋ-gə-du	saŋ+gə+du	s a ŋ + g ə + d u		232 234 233	232 234 233	s a ŋ + g ə + d u	i n c + i n + i n	232 234 233
765	Khoitam	civet or spotted wild cat	civet or spotted wild cat	ʦiŋ-gə-duˀ	ʦiŋ+gə+duˀ	ts i ŋ + g ə + d uˀ		232 234 233	232 234 233	ts i ŋ + g ə + d uˀ	i n c + i n + i n	232 234 233
766	Rahung	civet or spotted wild cat	civet or spotted wild cat	saŋ-du	saŋ+du	s a ŋ + d u		232 233	232 235	s a ŋ + d u	i n c + i n	232 233
767	Rupa	civet or spotted wild cat	civet or spotted wild cat	saŋ-gə-tu	saŋ+gə+tu	s a ŋ + g ə + t u		232 234 233	232 234 233	s a ŋ + g ə + t u	i n c + i n + i n	232 234 233
768	Shergaon	civet or spotted wild cat	civet or spotted wild cat	saŋ-kə-tu	saŋ+kə+tu	s a ŋ + k ə + t u		232 234 233	232 234 233	s a ŋ + k ə + t u	i n c + i n + i n	232 234 233
771	Khoina	civet, palm	civet, palm	s-nøn	s+nøn	s + n ø n		237 236	237 236	s - + n ø n	i + i n c	237 236
773	Khoitam	civet, palm	civet, palm	su-nɔm	su+nɔm	s u + n ɔ m		237 236	237 236	s u + n ɔ m	i n + i n c	237 236
776	Shergaon	civet, palm	civet, palm	sə-ɲɔm	sə+ɲɔm	s ə + ɲ ɔ m		237 236	237 236	s ə + ɲ ɔ m	i n + i n c	237 236
777	Khispi	clean	clean	u-ʦaŋ	u+ʦaŋ	u + ts a ŋ		239 238	239 238	u + ts a ŋ	n + i n c	56 238
778	Duhumbi	clean	clean	u-ʦaŋ	u+ʦaŋ	u + ts a ŋ		239 238	239 238	u + ts a ŋ	n + i n c	56 238
779	Khoina	clean	clean	a-san	a+san	a + s a n		239 238	239 238	a + s a n	n + i n c	56 238
782	Rahung	clean	clean	a-sam	a+sam	a + s a m		239 238	239 238	a + s a m	n + i n c	56 238
783	Rupa	clean	clean	a-sam	a+sam	a + s a m		239 238	239 238	a + s a m	n + i n c	56 238
785	Khispi	cliff, ravine	cliff, ravine	ɕap ~ ɕak	ɕap	ɕ a p		240	240	ɕ a p	i n c	240
786	Duhumbi	cliff, ravine	cliff, ravine	ɕak	ɕak	ɕ a k		240	240	ɕ a k	i n c	240
787	Khoina	cliff, ravine	cliff, ravine	ʦʰɐk	ʦʰɐk	tsʰ ɐ k		240	240	tsʰ ɐ k	i n c	240
788	Jerigaon	cliff, ravine	cliff, ravine	ʨʰɐk	ʨʰɐk	tɕʰ ɐ k		240	240	tɕʰ ɐ k	i n c	240
789	Khoitam	cliff, ravine	cliff, ravine	ʨʰak	ʨʰak	tɕʰ a k		240	240	tɕʰ a k	i n c	240
790	Rahung	cliff, ravine	cliff, ravine	ʨʰak	ʨʰak	tɕʰ a k		240	240	tɕʰ a k	i n c	240
791	Rupa	cliff, ravine	cliff, ravine	ʦʰak ~ ʨʰak	ʦʰak	tsʰ a k		240	240	tsʰ a k	i n c	240
792	Shergaon	cliff, ravine	cliff, ravine	ʨʰak	ʨʰak	tɕʰ a k		240	240	tɕʰ a k	i n c	240
795	Khoina	clitoris	clitoris	da-pɛː	da+pɛː	d a + p ɛː		243 241	243 241	d a + p ɛː	i n + i n	243 241
797	Khoitam	clitoris	clitoris	peː	peː	p eː		241	241	p eː	i n	241
798	Rahung	clitoris	clitoris	peː	peː	p eː		241	241	p eː	i n	241
799	Rupa	clitoris	clitoris	ʨɔp-beː ~ ʨɔ-peː	ʨɔp+beː	tɕ ɔ p + b eː		242 241	242 241	tɕ ɔ p + b eː	i n c + i n	242 241
800	Shergaon	clitoris	clitoris	ʨɔp-beː	ʨɔp+beː	tɕ ɔ p + b eː		242 241	242 241	tɕ ɔ p + b eː	i n c + i n	242 241
801	Khispi	clothing	clothing	wat	wat	w a t		244	245	w a t	i n c	244
802	Duhumbi	clothing	clothing	wat	wat	w a t		244	245	w a t	i n c	244
803	Khoina	clothing	clothing	jɐˀ	jɐˀ	j ɐˀ		244	244	j ɐˀ -	i n	244
804	Jerigaon	clothing	clothing	jɐˀ	jɐˀ	j ɐˀ		244	244	j ɐˀ -	i n	244
805	Khoitam	clothing	clothing	jɔˀ	jɔˀ	j ɔˀ		244	244	j ɔˀ -	i n	244
806	Rahung	clothing	clothing	jɔˀ	jɔˀ	j ɔˀ		244	244	j ɔˀ -	i n	244
807	Rupa	clothing	clothing	jɔˀ	jɔˀ	j ɔˀ		244	244	j ɔˀ -	i n	244
808	Shergaon	clothing	clothing	jɔ	jɔ	j ɔ		244	244	j ɔ -	i n	244
809	Khispi	cloud, mist, fog	cloud, mist, fog	tɔŋ-ti ~ tɔŋ-tej	tɔŋ+ti	t ɔ ŋ + t i		34 246	247 246	t ɔ ŋ + t i	i n c + i n	34 246
811	Khoina	cloud, mist, fog	cloud, mist, fog	ʂ-tyː	ʂ+tyː	ʂ + t yː		247 246	247 246	ʂ - - + t yː	i + i n	247 246
812	Jerigaon	cloud, mist, fog	cloud, mist, fog	s-tyː	s+tyː	s + t yː		247 246	247 246	s - - + t yː	i + i n	247 246
813	Khoitam	cloud, mist, fog	cloud, mist, fog	syŋ-tyː	syŋ+tyː	s y ŋ + t yː		247 246	247 246	s y ŋ + t yː	i n c + i n	247 246
814	Rahung	cloud, mist, fog	cloud, mist, fog	syn-tyː	syn+tyː	s y n + t yː		247 246	247 246	s y n + t yː	i n c + i n	247 246
815	Rupa	cloud, mist, fog	cloud, mist, fog	ʦə-tyː ~ s-tyː	ʦə+tyː	ts ə + t yː		247 246	248 246	ts ə - + t yː	i n + i n	247 246
816	Shergaon	cloud, mist, fog	cloud, mist, fog	sin-tiː ~ sin-tyː	sin+tiː	s i n + t iː		247 246	247 246	s i n + t iː	i n c + i n	247 246
