ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT
1079	Rupa	deer, sambar	deer, sambar	zyk	zyk	z y k		313	312	z y k
1082	Duhumbi	defeat (vi)	defeat (vi)	pʰam	pʰam	pʰ a m		314	314	pʰ a m
1085	Khoitam	defeat (vi)	defeat (vi)	pʰũː(ŋ)	pʰũː	pʰ ũː		314	314	pʰ ũː -
1086	Rahung	defeat (vi)	defeat (vi)	pʰũː(ŋ)	pʰũː	pʰ ũː		314	314	pʰ ũː -
1089	Khispi	deity, ghost	deity, ghost	la ~ ɬa	la	l a		315	315	l a
1090	Duhumbi	deity, ghost	deity, ghost	la ~ ɬa	la	l a		315	315	l a
1091	Khoina	deity, ghost	deity, ghost	mə-hɔː	mə+hɔː	m ə + h ɔː		316 315	316 317	m ə ◦ h ɔː
1093	Khoitam	deity, ghost	deity, ghost	mə-lɔː	mə+lɔː	m ə + l ɔː		316 315	316 315	m ə ◦ l ɔː
1094	Rahung	deity, ghost	deity, ghost	mə-loː	mə+loː	m ə + l oː		316 315	316 315	m ə ◦ l oː
1095	Rupa	deity, ghost	deity, ghost	loː	loː	l oː		315	315	l oː
1097	Khispi	descend	descend	ju	ju	j u		318	318	j u
1098	Duhumbi	descend	descend	ju	ju	j u		318	318	j u
1099	Khoina	descend	descend	jyː	jyː	j yː		318	318	j yː
1101	Khoitam	descend	descend	jyː	jyː	j yː		318	318	j yː
1102	Rahung	descend	descend	jyː	jyː	j yː		318	318	j yː
1103	Rupa	descend	descend	jyː	jyː	j yː		318	318	j yː
1105	Khispi	die	die	i	i	i		319	319	i
1106	Duhumbi	die	die	i	i	i		319	319	i
1107	Khoina	die	die	iː	iː	iː		319	319	iː
1108	Jerigaon	die	die	iː	iː	iː		319	319	iː
1109	Khoitam	die	die	iː	iː	iː		319	319	iː
1110	Rahung	die	die	iː	iː	iː		319	319	iː
1111	Rupa	die	die	iː	iː	iː		319	319	iː
1112	Shergaon	die	die	iː	iː	iː		319	319	iː
1113	Khispi	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k
1114	Duhumbi	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k
1116	Jerigaon	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k
1118	Rahung	dig	dig	jɔk	jɔk	j ɔ k		320	320	j ɔ k
1119	Rupa	dig	dig	wɔk	wɔk	w ɔ k		320	320	w ɔ k
1123	Khoina	dirty	dirty	a-ʐɛʔ	a+ʐɛʔ	a + ʐ ɛ ʔ		322 321	322 321	a ◦ ʐ ɛ ʔ
1124	Jerigaon	dirty	dirty	a-zɛʔ	a+zɛʔ	a + z ɛ ʔ		322 321	322 321	a ◦ z ɛ ʔ
1125	Khoitam	dirty	dirty	a-zɛʔ	a+zɛʔ	a + z ɛ ʔ		322 321	322 321	a ◦ z ɛ ʔ
1126	Rahung	dirty	dirty	a-zɛʔ	a+zɛʔ	a + z ɛ ʔ		322 321	322 321	a ◦ z ɛ ʔ
1127	Rupa	dirty	dirty	zat-mi	zat+mi	z a t + m i		321 323	321 323	z a t ◦ m i
1128	Shergaon	dirty	dirty	zap-tɛŋ	zap+tɛŋ	z a p + t ɛ ŋ		321 321	321 321	z a p ◦ z a p
1131	Khoina	disease	disease	(ku-)ruŋ	ruŋ	r u ŋ		324	324	r u ŋ
1132	Jerigaon	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ
1133	Khoitam	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ
1134	Rahung	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ
1135	Rupa	disease	disease	nuŋ	nuŋ	n u ŋ		324	324	n u ŋ
1137	Khispi	do	do	li	li	l i		325	326	l i
1138	Duhumbi	do	do	le	le	l e		325	326	l e
1139	Khoina	do	do	ra	ra	r a		325	325	r a
1140	Jerigaon	do	do	ra ~ rɛ	ra	r a		325	325	r a
1141	Khoitam	do	do	rɛ	rɛ	r ɛ		325	325	r ɛ
1142	Rahung	do	do	ra ~ rɛ	ra	r a		325	325	r a
1143	Rupa	do	do	ra	ra	r a		325	325	r a
1144	Shergaon	do	do	ra	ra	r a		325	325	r a
1145	Khispi	dog	dog	wa-tʰi	wa+tʰi	w a + tʰ i		329 327	329 327	w a ◦ tʰ i
1146	Duhumbi	dog	dog	wa-tʰi	wa+tʰi	w a + tʰ i		329 327	329 327	w a ◦ tʰ i
1147	Khoina	dog	dog	bə-tʰaː	bə+tʰaː	b ə + tʰ aː		328 327	328 327	b ə ◦ tʰ aː
1148	Jerigaon	dog	dog	pʰ-tʰɛː	pʰ+tʰɛː	pʰ + tʰ ɛː		328 327	328 327	pʰ - ◦ tʰ ɛː
1149	Khoitam	dog	dog	pʰ-tʰɛː	pʰ+tʰɛː	pʰ + tʰ ɛː		328 327	328 327	pʰ - ◦ tʰ ɛː
1150	Rahung	dog	dog	pʰ-tʰɛː	pʰ+tʰɛː	pʰ + tʰ ɛː		328 327	328 327	pʰ - ◦ tʰ ɛː
1151	Rupa	dog	dog	bə-tʰaː	bə+tʰaː	b ə + tʰ aː		328 327	328 327	b ə ◦ tʰ aː
1152	Shergaon	dog	dog	pʰ-tʰaː	pʰ+tʰaː	pʰ + tʰ aː		328 327	328 327	pʰ - ◦ tʰ aː
1155	Khoina	dog, wild	dog, wild	(də-)ʦʰɔ̃ː	ʦʰɔ̃ː	tsʰ ɔ̃ː		330	330	tsʰ ɔ̃ː -
1156	Jerigaon	dog, wild	dog, wild	sɔː	sɔː	s ɔː		330	330	s ɔː -
1158	Rahung	dog, wild	dog, wild	ʦə-sɔm	ʦə+sɔm	ts ə + s ɔ m		330 330	330 330	ts ə - ◦ ts ə -
1159	Rupa	dog, wild	dog, wild	saw	saw	s a w		330	330	s a w
1160	Shergaon	dog, wild	dog, wild	saw	saw	s a w		330	330	s a w
1161	Khispi	door	door	ku	ku	k u		331	331	k u -
1162	Duhumbi	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -
1163	Khoina	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -
1164	Jerigaon	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -
1165	Khoitam	door	door	kɔː	kɔː	k ɔː		331	331	k ɔː -
1166	Rahung	door	door	koː	koː	k oː		331	331	k oː -
1167	Rupa	door	door	kaw	kaw	k a w		331	331	k a w
1168	Shergaon	door	door	kaw	kaw	k a w		331	331	k a w
1169	Khispi	down	down	be ~ bja	be	b e		332	332	b e
1170	Duhumbi	down	down	be	be	b e		332	332	b e
1171	Khoina	down	down	buː(-rɔ)	buː	b uː		332	332	b uː
1172	Jerigaon	down	down	buː(-tɛn)	buː	b uː		332	332	b uː
1173	Khoitam	down	down	buː(-lɔ)	buː	b uː		332	332	b uː
1175	Rupa	down	down	buː(-tɔ)	buː	b uː		332	332	b uː
1176	Shergaon	down	down	buː(-tɔ)	buː	b uː		332	332	b uː
1177	Khispi	down (visible)	down (visible)	kʰaj ~ kʰja	kʰaj	kʰ a j		333	333	kʰ - a j
1178	Duhumbi	down (visible)	down (visible)	kʰe ~ kʰja	kʰe	kʰ e		333	333	kʰ - e -
1181	Khoitam	down (visible)	down (visible)	kʰwa(-ʥi)	kʰwa	kʰ w a		333	333	kʰ w a -
1182	Rahung	down (visible)	down (visible)	kʰa	kʰa	kʰ a		333	333	kʰ - a -
1187	Khoina	dragon, thunder, lightning	dragon, thunder, lightning	nə-ʦʰaː	nə+ʦʰaː	n ə + tsʰ aː		335 334	335 334	n ə - ◦ tsʰ aː
1190	Rahung	dragon, thunder, lightning	dragon, thunder, lightning	nam-ʨʰə-rɛː	nam+ʨʰə+rɛː	n a m + tɕʰ ə + r ɛː		335 334 336	335 334 336	n a m ◦ tɕʰ ə ◦ r ɛː
1193	Khispi	dream (n)	dream (n)	bɛŋ(-kʰan)	bɛŋ	b ɛ ŋ		337	337	b - ɛ ŋ
1194	Duhumbi	dream (n)	dream (n)	bjɛŋ(-kʰan)	bjɛŋ	b j ɛ ŋ		337	337	b j ɛ ŋ
1195	Khoina	dream (n)	dream (n)	bɛn	bɛn	b ɛ n		337	337	b - ɛ n
1196	Jerigaon	dream (n)	dream (n)	bɛn	bɛn	b ɛ n		337	337	b - ɛ n
1197	Khoitam	dream (n)	dream (n)	ban	ban	b a n		337	337	b - a n
1198	Rahung	dream (n)	dream (n)	ban ~ bɛn	ban	b a n		337	337	b - a n
1199	Rupa	dream (n)	dream (n)	ban	ban	b a n		337	337	b - a n
1200	Shergaon	dream (n)	dream (n)	ban	ban	b a n		337	337	b - a n
1201	Khispi	drink	drink	ɲiŋ ~ ɲuŋ	ɲiŋ	ɲ i ŋ		338	338	ɲ i ŋ
1202	Duhumbi	drink	drink	ɲiŋ ~ ɲuŋ	ɲiŋ	ɲ i ŋ		338	338	ɲ i ŋ
1203	Khoina	drink	drink	lyŋ	lyŋ	l y ŋ		338	338	l y ŋ
1204	Jerigaon	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ
1205	Khoitam	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ
1206	Rahung	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ
1207	Rupa	drink	drink	liŋ	liŋ	l i ŋ		338	338	l i ŋ
1208	Shergaon	drink	drink	iŋ	iŋ	i ŋ		338	338	- i ŋ
1209	Khispi	dry (adj.)	dry (adj.)	wal ~ ɔ-wal	wal	w a l		342	342	w a l
1210	Duhumbi	dry (adj.)	dry (adj.)	wa-aɹ	wa+aɹ	w a + a ɹ		342 339	342 339	w a - ◦ a ɹ
1211	Khoina	dry (adj.)	dry (adj.)	ɔ-ɐ̃ː	ɔ+ɐ̃ː	ɔ + ɐ̃ː		342 339	340 339	ɔ ◦ ɐ̃ː -
1212	Jerigaon	dry (adj.)	dry (adj.)	yk-ɐ̃ː	yk+ɐ̃ː	y k + ɐ̃ː		341 339	341 339	y k ◦ ɐ̃ː -
1213	Khoitam	dry (adj.)	dry (adj.)	yk-ɔ̃ː	yk+ɔ̃ː	y k + ɔ̃ː		341 339	341 339	y k ◦ ɔ̃ː -
1214	Rahung	dry (adj.)	dry (adj.)	ɔ-ɔ̃ː	ɔ+ɔ̃ː	ɔ + ɔ̃ː		342 339	340 339	ɔ ◦ ɔ̃ː -
1215	Rupa	dry (adj.)	dry (adj.)	ɔ-ɔ̃ː	ɔ+ɔ̃ː	ɔ + ɔ̃ː		342 339	340 339	ɔ ◦ ɔ̃ː -
1216	Shergaon	dry (adj.)	dry (adj.)	ɔ-ɔ̃ː	ɔ+ɔ̃ː	ɔ + ɔ̃ː		342 339	340 339	ɔ ◦ ɔ̃ː -
1217	Khispi	dry, dry up (v.i.)	dry, dry up (v.i.)	al	al	a l		344	344	a l
1218	Duhumbi	dry, dry up (v.i.)	dry, dry up (v.i.)	aɹ	aɹ	a ɹ		344	344	a ɹ
1220	Jerigaon	dry, dry up (v.i.)	dry, dry up (v.i.)	ɐ̃ː	ɐ̃ː	ɐ̃ː		344	343	ɐ̃ː
1223	Rupa	dry, dry up (v.i.)	dry, dry up (v.i.)	ɔ̃ː	ɔ̃ː	ɔ̃ː		344	343	ɔ̃ː
1225	Khispi	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ
1226	Duhumbi	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ
1230	Rahung	dual	dual	-zik	+zik	z i k		345	345	z i k
1231	Rupa	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ
1232	Shergaon	dual	dual	-ziŋ	+ziŋ	z i ŋ		345	345	z i ŋ
1233	Khispi	eagle, buzzard	eagle, buzzard	ha-ʦum	ha+ʦum	h a + ts u m		348 346	348 346	h a ◦ ts u m
1234	Duhumbi	eagle, buzzard	eagle, buzzard	hu-ʦum	hu+ʦum	h u + ts u m		348 346	348 346	h u ◦ ts u m
1237	Khoitam	eagle, buzzard	eagle, buzzard	pə-ʨyŋ	pə+ʨyŋ	p ə + tɕ y ŋ		348 346	347 346	p ə ◦ tɕ y ŋ
1238	Rahung	eagle, buzzard	eagle, buzzard	bə-ʨyŋ ~ pʰ-ʨyŋ	bə+ʨyŋ	b ə + tɕ y ŋ		348 346	347 346	b ə ◦ tɕ y ŋ
1239	Rupa	eagle, buzzard	eagle, buzzard	bə-ʨiŋ	bə+ʨiŋ	b ə + tɕ i ŋ		348 346	347 346	b ə ◦ tɕ i ŋ
1241	Khispi	ear	ear	kʰu-tʰuŋ	kʰu+tʰuŋ	kʰ u + tʰ u ŋ		350 349	350 349	kʰ u ◦ tʰ u ŋ
1242	Duhumbi	ear	ear	kʰu-tʰuŋ	kʰu+tʰuŋ	kʰ u + tʰ u ŋ		350 349	350 349	kʰ u ◦ tʰ u ŋ
1243	Khoina	ear	ear	ga-tʰyŋ	ga+tʰyŋ	g a + tʰ y ŋ		350 349	350 349	g a ◦ tʰ y ŋ
1244	Jerigaon	ear	ear	kʰ-tʰyŋ-lɛ	kʰ+tʰyŋ+lɛ	kʰ + tʰ y ŋ + l ɛ		350 349 351	350 349 351	kʰ - ◦ tʰ y ŋ ◦ l ɛ -
1245	Khoitam	ear	ear	kʰ-tʰyŋ	kʰ+tʰyŋ	kʰ + tʰ y ŋ		350 349	350 349	kʰ - ◦ tʰ y ŋ
1246	Rahung	ear	ear	kʰ-tʰyŋ	kʰ+tʰyŋ	kʰ + tʰ y ŋ		350 349	350 349	kʰ - ◦ tʰ y ŋ
1247	Rupa	ear	ear	gə-tʰyŋ	gə+tʰyŋ	g ə + tʰ y ŋ		350 349	350 349	g ə ◦ tʰ y ŋ
1248	Shergaon	ear	ear	kʰə-tʰuŋ-lap	kʰə+tʰuŋ+lap	kʰ ə + tʰ u ŋ + l a p		350 349 351	350 349 351	kʰ ə ◦ tʰ u ŋ ◦ l a p
1249	Khispi	earthworm	earthworm	(ɕala) pʰu-tʰin	pʰu+tʰin	pʰ u + tʰ i n		353 352	353 352	pʰ u ◦ tʰ - i n -
1251	Khoina	earthworm	earthworm	tʰa-kʰ-laː	tʰa+kʰ+laː	tʰ a + kʰ + l aː		352 354 355	352 354 355	tʰ - a - - ◦ kʰ - ◦ l aː
1252	Jerigaon	earthworm	earthworm	tʰlak-kʰlaː ~ də-kʰlak-kʰlaː	tʰlak+kʰlaː	tʰ l a k + kʰ l aː		352 356	352 356	tʰ l a k - ◦ kʰ l aː
1253	Khoitam	earthworm	earthworm	pʰ-tʰaŋ-hɔ̃ː ~ pi-taŋ-hɔ̃ː	pʰ+tʰaŋ+hɔ̃ː	pʰ + tʰ a ŋ + h ɔ̃ː		353 352 354	353 352 354	pʰ - ◦ tʰ - a ŋ - ◦ h ɔ̃ː
1254	Rahung	earthworm	earthworm	tɔ̃-hɔ̃ː	tɔ̃+hɔ̃ː	t ɔ̃ + h ɔ̃ː		352 354	352 354	t - ɔ̃ - - ◦ h ɔ̃ː
1255	Rupa	earthworm	earthworm	pʰyː dɔ̃(ŋ)hɔ̃ː	pʰyː_dɔ̃hɔ̃ː	pʰ yː _ d ɔ̃ h ɔ̃ː		353 352	353 352	pʰ yː ◦ d - ɔ̃ h ɔ̃ː
1257	Khispi	eat	eat	ʨʰa	ʨʰa	tɕʰ a		357	357	tɕʰ a
1258	Duhumbi	eat	eat	ʨʰa	ʨʰa	tɕʰ a		357	357	tɕʰ a
1259	Khoina	eat	eat	ʦʰu	ʦʰu	tsʰ u		357	357	tsʰ u
1260	Jerigaon	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u
1261	Khoitam	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u
1262	Rahung	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u
1263	Rupa	eat	eat	ʦʰu ~ ʨʰu	ʦʰu	tsʰ u		357	357	tsʰ u
1264	Shergaon	eat	eat	ʨʰu	ʨʰu	tɕʰ u		357	357	tɕʰ u
1265	Khispi	egg	egg	ɔ-gɔŋ	ɔ+gɔŋ	ɔ + g ɔ ŋ		359 358	359 358	ɔ ◦ g ɔ ŋ
1266	Duhumbi	egg	egg	hɔj-ʥɔŋ	hɔj+ʥɔŋ	h ɔ j + dʑ ɔ ŋ		360 358	360 358	h ɔ j ◦ dʑ ɔ ŋ
1267	Khoina	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a ◦ j u ŋ
1268	Jerigaon	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a ◦ j u ŋ
1269	Khoitam	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a ◦ j u ŋ
1270	Rahung	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a ◦ j u ŋ
1271	Rupa	egg	egg	a-juŋ	a+juŋ	a + j u ŋ		359 358	359 358	a ◦ j u ŋ
1273	Khispi	eggplant	eggplant	ban-tʰu	ban+tʰu	b a n + tʰ u		363 361	363 361	b a n ◦ tʰ u -
1274	Duhumbi	eggplant	eggplant	ban-tʰɔw	ban+tʰɔw	b a n + tʰ ɔ w		363 361	363 361	b a n ◦ tʰ ɔ w
1275	Khoina	eggplant	eggplant	ma-tʰɔː	ma+tʰɔː	m a + tʰ ɔː		363 361	362 361	m a - ◦ tʰ ɔː -
1276	Jerigaon	eggplant	eggplant	mə-tʰɔː	mə+tʰɔː	m ə + tʰ ɔː		363 361	362 361	m ə - ◦ tʰ ɔː -
1277	Khoitam	eggplant	eggplant	mə-tʰoː	mə+tʰoː	m ə + tʰ oː		363 361	362 361	m ə - ◦ tʰ oː -
1278	Rahung	eggplant	eggplant	pʰ-tʰoː	pʰ+tʰoː	pʰ + tʰ oː		363 361	363 361	pʰ - - ◦ tʰ oː -
1279	Rupa	eggplant	eggplant	man-tʰoː	man+tʰoː	m a n + tʰ oː		363 361	362 361	m a n ◦ tʰ oː -
1280	Shergaon	eggplant	eggplant	ban-tʰoː	ban+tʰoː	b a n + tʰ oː		363 361	363 361	b a n ◦ tʰ oː -
1281	Khispi	eight	eight	saɹ-gɛː	saɹ+gɛː	s a ɹ + g ɛː		365 364	365 364	s a ɹ ◦ g ɛː -
1282	Duhumbi	eight	eight	saɹ-gɛˀ	saɹ+gɛˀ	s a ɹ + g ɛˀ		365 364	365 364	s a ɹ ◦ g ɛˀ -
1283	Khoina	eight	eight	saɹ-gɛʔ ~ saɹ-ʥɛʔ	saɹ+gɛʔ	s a ɹ + g ɛ ʔ		365 364	365 364	s a ɹ ◦ g ɛ ʔ
1284	Jerigaon	eight	eight	saɹ-gɛʔ	saɹ+gɛʔ	s a ɹ + g ɛ ʔ		365 364	365 364	s a ɹ ◦ g ɛ ʔ
1285	Khoitam	eight	eight	saɹ-ʥɛʔ	saɹ+ʥɛʔ	s a ɹ + dʑ ɛ ʔ		365 364	365 364	s a ɹ ◦ dʑ ɛ ʔ
1286	Rahung	eight	eight	saɹ-ʥɛʔ	saɹ+ʥɛʔ	s a ɹ + dʑ ɛ ʔ		365 364	365 364	s a ɹ ◦ dʑ ɛ ʔ
1287	Rupa	eight	eight	saɹ-ɟat ~ saɹ-ʥat	saɹ+ɟat	s a ɹ + ɟ a t		365 364	365 364	s a ɹ ◦ ɟ a t
1288	Shergaon	eight	eight	saɹ-ʥat	saɹ+ʥat	s a ɹ + dʑ a t		365 364	365 364	s a ɹ ◦ dʑ a t
1290	Duhumbi	elbow	elbow	ki-lik-pa	ki+lik+pa	k i + l i k + p a		366 371 370	366 371 370	k i ◦ l i k ◦ p a
1291	Khoina	elbow	elbow	ji ʦə-ryː	ji_ʦə+ryː	j i _ ts ə + r yː		369 366 367	369 366 367	j i ◦ ts ə ◦ r yː
1292	Jerigaon	elbow	elbow	ik ʨə-ryː	ik_ʨə+ryː	i k _ tɕ ə + r yː		368 366 367	368 366 367	i k ◦ tɕ ə ◦ r yː
1293	Khoitam	elbow	elbow	ik kə-li	ik_kə+li	i k _ k ə + l i		368 366 367	368 366 367	i k ◦ k ə ◦ l i
1294	Rahung	elbow	elbow	ik kə-ri	ik_kə+ri	i k _ k ə + r i		368 366 367	368 366 367	i k ◦ k ə ◦ r i
1295	Rupa	elbow	elbow	ik kə-li	ik_kə+li	i k _ k ə + l i		368 366 367	368 366 367	i k ◦ k ə ◦ l i
1296	Shergaon	elbow	elbow	ik kə-li	ik_kə+li	i k _ k ə + l i		368 366 367	368 366 367	i k ◦ k ə ◦ l i
1299	Khoina	elephant	elephant	ʂu-ʂiŋ-tʰɔŋ	ʂu+ʂiŋ+tʰɔŋ	ʂ u + ʂ i ŋ + tʰ ɔ ŋ		372 374 373	372 374 373	ʂ u ◦ ʂ i ŋ ◦ tʰ ɔ ŋ
1300	Jerigaon	elephant	elephant	su-sɛn-tʰɔŋ	su+sɛn+tʰɔŋ	s u + s ɛ n + tʰ ɔ ŋ		372 374 373	372 374 373	s u ◦ s ɛ n ◦ tʰ ɔ ŋ
1301	Khoitam	elephant	elephant	su-san-tʰɔŋ	su+san+tʰɔŋ	s u + s a n + tʰ ɔ ŋ		372 374 373	372 374 373	s u ◦ s a n ◦ tʰ ɔ ŋ
1302	Rahung	elephant	elephant	su-san-tʰɔŋ	su+san+tʰɔŋ	s u + s a n + tʰ ɔ ŋ		372 374 373	372 374 373	s u ◦ s a n ◦ tʰ ɔ ŋ
1303	Rupa	elephant	elephant	s-tɔŋ	s+tɔŋ	s + t ɔ ŋ		372 373	372 373	s - ◦ t ɔ ŋ
1304	Shergaon	elephant	elephant	s-tɔŋ	s+tɔŋ	s + t ɔ ŋ		372 373	372 373	s - ◦ t ɔ ŋ
1307	Khoina	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a ◦ r u k
1308	Jerigaon	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a ◦ r u k
1309	Khoitam	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a ◦ r u k
1310	Rahung	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a ◦ r u k
1311	Rupa	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a ◦ r u k
1312	Shergaon	empty	empty	a-ruk	a+ruk	a + r u k		376 375	376 375	a ◦ r u k
1315	Khoina	excrement	excrement	jaː	jaː	j aː		377	377	j aː
1316	Jerigaon	excrement	excrement	jɛː ~ jaː	jɛː	j ɛː		377	377	j ɛː
1317	Khoitam	excrement	excrement	jɛː	jɛː	j ɛː		377	377	j ɛː
1318	Rahung	excrement	excrement	jɛː	jɛː	j ɛː		377	377	j ɛː
1319	Rupa	excrement	excrement	jaː	jaː	j aː		377	377	j aː
1320	Shergaon	excrement	excrement	jaː	jaː	j aː		377	377	j aː
1321	Khispi	excrete	excrete	ʨʰat	ʨʰat	tɕʰ a t		378	378	tɕʰ a t
1322	Duhumbi	excrete	excrete	ʨʰɛt	ʨʰɛt	tɕʰ ɛ t		378	378	tɕʰ ɛ t
1323	Khoina	excrete	excrete	tʂʰɐ̃	tʂʰɐ̃	ʈʂʰ ɐ̃		378	378	ʈʂʰ ɐ̃ -
1324	Jerigaon	excrete	excrete	ʨʰɐ̃	ʨʰɐ̃	tɕʰ ɐ̃		378	378	tɕʰ ɐ̃ -
1326	Rahung	excrete	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃		378	378	tɕʰ ɔ̃ -
1327	Rupa	excrete	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃		378	378	tɕʰ ɔ̃ -
1328	Shergaon	excrete	excrete	ʨʰɔ̃	ʨʰɔ̃	tɕʰ ɔ̃		378	378	tɕʰ ɔ̃ -
1329	Khispi	exit	exit	ɕɛt	ɕɛt	ɕ ɛ t		379	379	ɕ ɛ t
1330	Duhumbi	exit	exit	ɕɛt	ɕɛt	ɕ ɛ t		379	379	ɕ ɛ t
1331	Khoina	exit	exit	ʂɛʔ	ʂɛʔ	ʂ ɛ ʔ		379	379	ʂ ɛ ʔ
1332	Jerigaon	exit	exit	sɛʔ	sɛʔ	s ɛ ʔ		379	379	s ɛ ʔ
1333	Khoitam	exit	exit	sɛt	sɛt	s ɛ t		379	379	s ɛ t
1334	Rahung	exit	exit	sɛt	sɛt	s ɛ t		379	379	s ɛ t
1335	Rupa	exit	exit	sat	sat	s a t		379	379	s a t
1336	Shergaon	exit	exit	sat	sat	s a t		379	379	s a t
1337	Khispi	eye	eye	kʰu-mɔː	kʰu+mɔː	kʰ u + m ɔː		380 46	380 381	kʰ u - ◦ m ɔː
1338	Duhumbi	eye	eye	kʰu-m	kʰu+m	kʰ u + m		380 46	380 381	kʰ u - ◦ m -
1339	Khoina	eye	eye	ga-byː	ga+byː	g a + b yː		380 381	380 381	g a - ◦ b yː
1340	Jerigaon	eye	eye	kʰa-byː	kʰa+byː	kʰ a + b yː		380 381	380 381	kʰ a - ◦ b yː
1341	Khoitam	eye	eye	kʰa-byː	kʰa+byː	kʰ a + b yː		380 381	380 381	kʰ a - ◦ b yː
1342	Rahung	eye	eye	kʰam-byː ~ kʰa-byː	kʰam+byː	kʰ a m + b yː		380 381	380 381	kʰ a m ◦ b yː
1343	Rupa	eye	eye	kʰa-byː ~ kʰə-byː	kʰa+byː	kʰ a + b yː		380 381	380 381	kʰ a - ◦ b yː
1344	Shergaon	eye	eye	kʰi-biː	kʰi+biː	kʰ i + b iː		380 381	380 381	kʰ i - ◦ b iː
1346	Duhumbi	face	face1	zuk	zuk	z u k		383	383	z u k
1347	Khoina	face	face1	zyk	zyk	z y k		383	383	z y k
1349	Khoitam	face	face1	zyk	zyk	z y k		383	383	z y k
1350	Rahung	face	face1	zyk	zyk	z y k		383	383	z y k
1351	Rupa	face	face1	zyk	zyk	z y k		383	383	z y k
1353	Khispi	face	face2	muj	muj	m u j		382	382	m u j
1354	Duhumbi	face	face2	mɛj	mɛj	m ɛ j		382	382	m ɛ j
1355	Khoina	face	face2	miː	miː	m iː		382	382	m iː -
1356	Jerigaon	face	face2	miː	miː	m iː		382	382	m iː -
1357	Khoitam	face	face2	miː	miː	m iː		382	382	m iː -
1358	Rahung	face	face2	miː	miː	m iː		382	382	m iː -
1359	Rupa	face	face2	myː	myː	m yː		382	382	m yː -
1361	Khispi	falcon	falcon	hwa-ʨɔŋ-ki	hwa+ʨɔŋ+ki	hw a + tɕ ɔ ŋ + k i		387 384 386	387 384 386	hw a ◦ tɕ ɔ ŋ ◦ k i
1362	Duhumbi	falcon	falcon	hwa-ʨɔŋ-ki	hwa+ʨɔŋ+ki	hw a + tɕ ɔ ŋ + k i		387 384 386	387 384 386	hw a ◦ tɕ ɔ ŋ ◦ k i
1363	Khoina	falcon	falcon	ʣa-kyː	ʣa+kyː	dz a + k yː		384 386	385 384	dz a - ◦ k yː -
1364	Jerigaon	falcon	falcon	ʨaŋ-kə-luŋ	ʨaŋ+kə+luŋ	tɕ a ŋ + k ə + l u ŋ		384 386 388	385 384 388	tɕ a ŋ ◦ k ə - ◦ l u ŋ
1369	Khispi	fall	fall1	ɕa	ɕa	ɕ a		389	389	ɕ a -
1370	Duhumbi	fall	fall1	ɕa	ɕa	ɕ a		389	389	ɕ a -
1374	Rahung	fall	fall1	ʨʰuː	ʨʰuː	tɕʰ uː		389	389	tɕʰ uː -
1375	Rupa	fall	fall1	ʦʰuː  ~ ʨʰuː	ʦʰuː	tsʰ uː		389	389	tsʰ uː -
1380	Jerigaon	fall	fall2	hiŋ	hiŋ	h i ŋ		49	389	h i ŋ
1381	Khoitam	fall	fall2	hiŋ	hiŋ	h i ŋ		49	389	h i ŋ
1382	Rahung	fall	fall2	hyŋ	hyŋ	h y ŋ		49	389	h y ŋ
